PAIR,N_EXPOSED,A_SERIOUS_EXPOSED,ROR,CI_LOWER,CI_UPPER,PRIORITY_REASON,RISK_CLASSES,RISK_CLASS_STR,IN_DRUGBANK,DRUG_STATUS,VALIDATION_STATUS,DRUGBANK_DESCRIPTION
DICLOFENAC SODIUM + FOLIC ACID,566,509,8.64128271036136,6.571605601065533,11.362788854565874,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,
KETAMINE + OLANZAPINE,109,98,8.613731348211825,4.618620122511057,16.06461795321411,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The risk or severity of CNS depression can be increased when Olanzapine is combined with Ketamine.
DICLOFENAC SODIUM + HYDROXYCHLOROQUINE SULFATE,255,229,8.518045089832889,5.677673843783724,12.779369535618237,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,
DICLOFENAC SODIUM + METHOTREXATE,637,571,8.373021534335933,6.489314041789842,10.80352856449472,TOP_ROR,['ANTINEOPLASTICS'],ANTINEOPLASTICS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,
CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE + DICLOFENAC SODIUM,144,129,8.315421380401379,4.8715431871459405,14.19390736719438,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,
DESOXIMETASONE + IBUPROFEN,105,94,8.262071506355163,4.42414471303273,15.429383531474206,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The risk or severity of gastrointestinal irritation can be increased when Desoximetasone is combined with Ibuprofen.
CHOLECALCIFEROL + DESOXIMETASONE,161,144,8.190545033120681,4.954591028179561,13.539972836915773,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The therapeutic efficacy of Cholecalciferol can be decreased when used in combination with Desoximetasone.
ALENDRONIC ACID + PANTOPRAZOLE,122,109,8.106816570083456,4.561168477452167,14.408692690450808,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The therapeutic efficacy of Alendronic acid can be decreased when used in combination with Pantoprazole.
DICLOFENAC POTASSIUM + NAPROXEN,159,142,8.076748859397503,4.883928877674527,13.356843183359343,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,
CETIRIZINE + HYDROXYCHLOROQUINE,168,150,8.057923494655906,4.941786448845976,13.138999776263168,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Hydroxychloroquine.
HYDROCORTISONE + NAPROXEN,186,166,8.025959022133211,5.046730484362089,12.763910897275448,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The risk or severity of gastrointestinal irritation can be increased when Hydrocortisone is combined with Naproxen.
CORTISONE ACETATE + LEFLUNOMIDE,288,257,8.018126991887096,5.5235819172823515,11.639251742945058,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The risk or severity of adverse effects can be increased when Cortisone acetate is combined with Leflunomide.
PANTOPRAZOLE + PIPERACILLIN SODIUM\TAZOBACTAM SODIUM,195,174,8.012278367477656,5.094556352502959,12.601019636657972,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,
EPCORITAMAB + PREDNISONE,148,132,7.977040541993763,4.7478965856390065,13.402392967252863,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The serum concentration of Prednisone can be increased when it is combined with Epcoritamab.
PIPERACILLIN SODIUM\TAZOBACTAM SODIUM + PREDNISONE,237,211,7.848166757616631,5.221969202417386,11.7951138867011,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,
FUROSEMIDE + OXAZEPAM,182,162,7.8324875425703535,4.922045401381467,12.463895820079449,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,Furosemide may decrease the excretion rate of Oxazepam which could result in a higher serum level.
HYDROCORTISONE + SULFAMETHOXAZOLE / TRIMETHOPRIM,191,170,7.828013224901975,4.974539952574054,12.318283023846712,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,
OLANZAPINE + SULFAMETHOXAZOLE / TRIMETHOPRIM,100,89,7.822506157301067,4.1810874235528726,14.63533200389664,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,
SULFASALAZINE + ZOPICLONE,100,89,7.822506157301067,4.1810874235528726,14.63533200389664,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The risk or severity of methemoglobinemia can be increased when Sulfasalazine is combined with Zopiclone.
HYDROCORTISONE ACETATE + METHOTREXATE,109,97,7.815311795582531,4.290005944387461,14.23753236101692,TOP_ROR,['ANTINEOPLASTICS'],ANTINEOPLASTICS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The metabolism of Methotrexate can be increased when combined with Hydrocortisone acetate.
