PAIR,N_EXPOSED,A_SERIOUS_EXPOSED,ROR,CI_LOWER,CI_UPPER,PRIORITY_REASON,RISK_CLASSES,RISK_CLASS_STR,IN_DRUGBANK,DRUG_STATUS,VALIDATION_STATUS,IS_SAME_DRUG,IS_KNOWN_MISSED,HAS_INTL_VARIANT,IS_MANUAL_EXCLUSION,NEEDS_REVIEW
METHOTREXATE + OXYCODONE,463,409,7.327641091344586,5.51701333578271,9.732498490679095,TOP_ROR,"['OPIOIDS', 'ANTINEOPLASTICS']","OPIOIDS, ANTINEOPLASTICS",False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
DICLOFENAC + RITUXIMAB,450,403,8.295510405477625,6.13234042040394,11.22173398241558,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
NAPROXEN + RITUXIMAB,358,311,6.400338176380738,4.709500071284218,8.698232965705484,HIGH_RISK_CLASS,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
CETIRIZINE + RITUXIMAB,319,286,8.382654276864427,5.846244888892753,12.019491838074885,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
FOLIC ACID + OXYCODONE HYDROCHLORIDE,313,274,6.79511042124205,4.858505950254816,9.503647028455454,HIGH_RISK_CLASS,['OPIOIDS'],OPIOIDS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
METHOTREXATE + PSEUDOEPHEDRINE HYDROCHLORIDE,298,256,5.894939197725747,4.253591649568555,8.169638979897899,HIGH_RISK_CLASS,['ANTINEOPLASTICS'],ANTINEOPLASTICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
QUETIAPINE FUMARATE + RITUXIMAB,284,254,8.188642700113705,5.608790663395043,11.955138512789002,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
CYCLOPHOSPHAMIDE + VANCOMYCIN,262,225,5.880884290431525,4.153587226326538,8.32648940612988,HIGH_RISK_CLASS,"['ANTINEOPLASTICS', 'NARROW_THERAPEUTIC_INDEX']","ANTINEOPLASTICS, NARROW_THERAPEUTIC_INDEX",False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
FOLIC ACID + PSEUDOEPHEDRINE HYDROCHLORIDE,261,229,6.920809002098681,4.780800743909362,10.018739497677384,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
OXYCODONE HYDROCHLORIDE + PANTOPRAZOLE SODIUM,243,215,7.42577094752312,5.008548589144876,11.0095915380733,TOP_ROR,['OPIOIDS'],OPIOIDS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
LEFLUNOMIDE + RAMIPRIL,237,208,6.936144269784755,4.70306465517631,10.229520718648155,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
PSEUDOEPHEDRINE HYDROCHLORIDE + RITUXIMAB,217,190,6.804967884923047,4.547221252726044,10.183711181212658,HIGH_RISK_CLASS,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
EPCORITAMAB + RITUXIMAB,215,192,8.072647804732059,5.238237980369747,12.44075638095492,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
OXYCODONE + RAMIPRIL,211,185,6.880666477178922,4.5639195639168095,10.37344556737608,HIGH_RISK_CLASS,['OPIOIDS'],OPIOIDS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
LEFLUNOMIDE + PSEUDOEPHEDRINE HYDROCHLORIDE,208,186,8.175752230732979,5.255398024840552,12.718908105987506,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
