PAIR,N_EXPOSED,A_SERIOUS_EXPOSED,ROR,CI_LOWER,CI_UPPER,PRIORITY_REASON,RISK_CLASSES,RISK_CLASS_STR,IN_DRUGBANK,DRUG_STATUS,VALIDATION_STATUS
PHTHALYLSULFATHIAZOLE + SULFASALAZINE,320,288,8.705127193705938,6.041559521619856,12.542993110871606,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
ADALIMUMAB + PSEUDOEPHEDRINE HYDROCHLORIDE,140,126,8.702144285847426,5.009745464339207,15.116000545487903,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
ADALIMUMAB + CETIRIZINE,189,170,8.652057384706746,5.385231201634066,13.900628252607616,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
PANTOPRAZOLE + PEMBROLIZUMAB,109,98,8.613731348211825,4.618620122511057,16.06461795321411,TOP_ROR,['ANTINEOPLASTICS'],ANTINEOPLASTICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
CANDESARTAN + DESOXIMETASONE,167,150,8.531940081218215,5.166593301542843,14.089361654953606,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
FLUDARABINE + ONDANSETRON,108,97,8.52581575751783,4.569998970226523,15.905809783483663,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
CALCIUM CARBONATE + LORAZEPAM,117,105,8.460035318125989,4.6556302936779455,15.37325626588727,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
ALENDRONIC ACID + PHTHALYLSULFATHIAZOLE,136,122,8.425805196201765,4.846274489219391,14.649230736366317,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
ALENDRONIC ACID + FOLIC ACID,348,312,8.383113183113183,5.93693985525494,11.837173418336448,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
DARATUMUMAB/HYALURONIDASE-FIHJ + DEXAMETHASONE,153,137,8.279300095590871,4.9328513803500424,13.895981205901814,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
CASPOFUNGIN + CYCLOPHOSPHAMIDE,105,94,8.262071506355163,4.42414471303273,15.429383531474206,TOP_ROR,['ANTINEOPLASTICS'],ANTINEOPLASTICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
METHOTREXATE + OXYCODONE,486,435,8.252469830841136,6.174219601802655,11.030261749850846,TOP_ROR,"['OPIOIDS', 'ANTINEOPLASTICS']","OPIOIDS, ANTINEOPLASTICS",False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE + PHTHALYLSULFATHIAZOLE,171,153,8.219140891992524,5.043248926520483,13.394991599003175,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
EPCORITAMAB + RITUXIMAB,216,193,8.114712240241204,5.266164258757777,12.504082954194311,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
LINEZOLID + PANTOPRAZOLE,112,100,8.057080227900348,4.42710447238728,14.66343118932926,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
HYDROXYCHLOROQUINE SULFATE + RAMIPRIL,149,133,8.037491874853627,4.784885988096433,13.501110747267427,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
CYCLOPHOSPHAMIDE + LEUCOVORIN CALCIUM,148,132,7.977040541993763,4.7478965856390065,13.402392967252863,TOP_ROR,['ANTINEOPLASTICS'],ANTINEOPLASTICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
ALENDRONIC ACID + HYDROXYCHLOROQUINE,157,140,7.96295377346966,4.813269496163643,13.17371338732513,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
CALCIUM CARBONATE + MIRTAZAPINE,109,97,7.815311795582531,4.290005944387461,14.23753236101692,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
DESOXIMETASONE + PHTHALYLSULFATHIAZOLE,236,210,7.810952984803364,5.196655214409831,11.740433800886176,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
LEFLUNOMIDE + PSEUDOEPHEDRINE HYDROCHLORIDE,233,207,7.699312733731205,5.120715217900042,11.576393931179297,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
NAPROXEN + OXYCODONE,187,166,7.64375160538355,4.854531333250662,12.03554670759126,TOP_ROR,['OPIOIDS'],OPIOIDS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
