PAIR,N_EXPOSED,A_SERIOUS_EXPOSED,ROR,CI_LOWER,CI_UPPER,PRIORITY_REASON,RISK_CLASSES,RISK_CLASS_STR,IN_DRUGBANK,DRUG_STATUS,VALIDATION_STATUS,IS_SAME_DRUG,IS_KNOWN_MISSED,HAS_INTL_VARIANT,IS_MANUAL_EXCLUSION,NEEDS_REVIEW
ACYCLOVIR + VINCRISTINE,200,180,8.703138331815673,5.483189982270692,13.813969070492067,TOP_ROR,['ANTINEOPLASTICS'],ANTINEOPLASTICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
LINEZOLID + PANTOPRAZOLE,108,97,8.52581575751783,4.569998970226523,15.905809783483663,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
PANTOPRAZOLE + PEMBROLIZUMAB,108,97,8.52581575751783,4.569998970226523,15.905809783483663,TOP_ROR,['ANTINEOPLASTICS'],ANTINEOPLASTICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
DICLOFENAC + OXYCODONE,368,330,8.400403025941115,6.004385528368437,11.75253831800765,TOP_ROR,['OPIOIDS'],OPIOIDS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
EPCORITAMAB + RITUXIMAB,220,197,8.282971993054119,5.377873153009169,12.75738997289845,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
CASPOFUNGIN + CYCLOPHOSPHAMIDE,105,94,8.262071506355163,4.42414471303273,15.429383531474206,TOP_ROR,['ANTINEOPLASTICS'],ANTINEOPLASTICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
DICLOFENAC + OXYCODONE HYDROCHLORIDE,161,144,8.190545033120681,4.954591028179561,13.539972836915773,TOP_ROR,['OPIOIDS'],OPIOIDS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
ADALIMUMAB + PSEUDOEPHEDRINE HYDROCHLORIDE,132,118,8.149471389415089,4.682818504479289,14.182459530167092,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
CETIRIZINE + RITUXIMAB,308,275,8.060032543492257,5.617056882463975,11.565509476139963,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
AMLODIPINE + PIPERACILLIN SODIUM\TAZOBACTAM SODIUM,112,100,8.057080227900348,4.42710447238728,14.66343118932926,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
CALCIUM CARBONATE + DICLOFENAC,130,116,8.01130646704653,4.601096494890758,13.949073091644731,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
MEROPENEM + ONDANSETRON,101,90,7.910418386837573,4.229695359030754,14.794143252235802,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE + CORTISONE ACETATE,137,122,7.864065413674581,4.599774433437143,13.444903815498774,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
DICLOFENAC + RITUXIMAB,454,404,7.817089838659151,5.826650547244783,10.487482139213494,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
CEFEPIME + CYCLOPHOSPHAMIDE,109,97,7.815311795582531,4.290005944387461,14.23753236101692,TOP_ROR,['ANTINEOPLASTICS'],ANTINEOPLASTICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
ADALIMUMAB + CETIRIZINE,171,152,7.735624410003943,4.801294886087293,12.463280517521811,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
ALLOPURINOL + POLYETHYLENE GLYCOL,144,128,7.735238099789943,4.599947156029165,13.007520832498576,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
RAMIPRIL + TRAMADOL HYDROCHLORIDE,170,151,7.684713778778217,4.768859337849258,12.383427918085196,TOP_ROR,['OPIOIDS'],OPIOIDS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
APIXABAN + POTASSIUM CHLORIDE,143,127,7.6747882115375425,4.5629619148958325,12.908802481929172,TOP_ROR,['ANTICOAGULANTS'],ANTICOAGULANTS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
RAMIPRIL + TOPIRAMATE,116,103,7.660459953252509,4.302359083491354,13.639644101432047,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL,False,False,False,False,False
