PAIR,N_EXPOSED,A_SERIOUS_EXPOSED,ROR,CI_LOWER,CI_UPPER,PRIORITY_REASON,RISK_CLASSES,RISK_CLASS_STR
ACYCLOVIR + VINCRISTINE,200,180,8.703138331815673,5.483189982270692,13.813969070492067,TOP_ROR,['ANTINEOPLASTICS'],ANTINEOPLASTICS
CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE + FOLIC ACID,169,152,8.645740606278718,5.23726575566377,14.27249143319118,TOP_ROR,[],NONE
CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE + HYDROXYCHLOROQUINE SULFATE,119,107,8.621220050340916,4.747049778829611,15.657184697718764,TOP_ROR,[],NONE
ACETAMINOPHEN + CIMZIA,317,285,8.614387003887144,5.97743500206658,12.414633271141197,TOP_ROR,[],NONE
CALCIUM CARBONATE + XELJANZ,109,98,8.613731348211825,4.618620122511057,16.06461795321411,TOP_ROR,[],NONE
PIPERACILLIN SODIUM\TAZOBACTAM SODIUM + PREDNISONE,237,213,8.582853499500446,5.627822322165822,13.089498917502702,TOP_ROR,[],NONE
SIMPONI + STELARA,227,204,8.577434302187646,5.573377749376018,13.200680541810083,TOP_ROR,[],NONE
CELECOXIB + OXYCODONE,207,186,8.56509493455868,5.4546488859747555,13.449234363486084,TOP_ROR,['OPIOIDS'],OPIOIDS
HYDROCORTISONE + SULFAMETHOXAZOLE / TRIMETHOPRIM,197,177,8.558024664802467,5.389655317111625,13.58895548122313,TOP_ROR,[],NONE
ADALIMUMAB + DICLOFENAC,315,283,8.553894267088051,5.934686299437892,12.32906061765254,TOP_ROR,['BIOLOGICS'],BIOLOGICS
CERTOLIZUMAB PEGOL + CETIRIZINE HYDROCHLORIDE,128,115,8.553185986526808,4.820020924986346,15.177732972253803,TOP_ROR,[],NONE
DIPHENHYDRAMINE + FENTANYL,167,150,8.531940081218215,5.166593301542843,14.089361654953606,TOP_ROR,['OPIOIDS'],OPIOIDS
ALENDRONATE SODIUM + HYDROXYCHLOROQUINE,216,194,8.527560538449823,5.486832037434939,13.25341986792846,TOP_ROR,[],NONE
LINEZOLID + PANTOPRAZOLE,108,97,8.52581575751783,4.569998970226523,15.905809783483663,TOP_ROR,[],NONE
PANTOPRAZOLE + PEMBROLIZUMAB,108,97,8.52581575751783,4.569998970226523,15.905809783483663,TOP_ROR,['ANTINEOPLASTICS'],ANTINEOPLASTICS
CORTISONE ACETATE + FLUMETHASONE PIVALATE,137,123,8.494889473339233,4.887140870392104,14.765923282759797,TOP_ROR,[],NONE
LEFLUNOMIDE + STELARA,176,158,8.487841691448516,5.212364863728884,13.82164496588067,TOP_ROR,[],NONE
ALENDRONATE SODIUM + ENBREL,205,184,8.472956637955456,5.394629171433305,13.307864527340476,TOP_ROR,['BIOLOGICS'],BIOLOGICS
LEFLUNOMIDE + MYCOPHENOLATE MOFETIL,380,341,8.45804321760338,6.072538581574402,11.780657151839629,TOP_ROR,['IMMUNOSUPPRESSANTS'],IMMUNOSUPPRESSANTS
FOSAMAX + LISINOPRIL,107,96,8.437900586979062,4.5213793256279295,15.747001343633915,TOP_ROR,[],NONE
DICLOFENAC SODIUM + METHOTREXATE,640,574,8.417073298213358,6.523905427376454,10.8596183215959,TOP_ROR,['ANTINEOPLASTICS'],ANTINEOPLASTICS
ACETAMINOPHEN + COSENTYX,320,287,8.411984366736936,5.867081341516203,12.060763583676517,TOP_ROR,[],NONE
DICLOFENAC + OXYCODONE,368,330,8.400403025941115,6.004385528368437,11.75253831800765,TOP_ROR,['OPIOIDS'],OPIOIDS
HYDROXYCHLOROQUINE + OXYCODONE,203,182,8.380819222204961,5.334611126314456,13.166495021316743,TOP_ROR,['OPIOIDS'],OPIOIDS
CORTISONE ACETATE + DICLOFENAC SODIUM,241,216,8.355628473292843,5.522599091448356,12.641969121352965,TOP_ROR,[],NONE
CETIRIZINE + DICLOFENAC SODIUM,221,198,8.325037433958641,5.405801304236943,12.820716925443046,TOP_ROR,[],NONE
CHOLECALCIFEROL + QUETIAPINE FUMARATE,115,103,8.298852126564775,4.564215921096566,15.08932701896413,TOP_ROR,[],NONE
FENTANYL + ZOPICLONE,115,103,8.298852126564775,4.564215921096566,15.08932701896413,TOP_ROR,['OPIOIDS'],OPIOIDS
COSENTYX + ORENCIA,249,223,8.294745907685835,5.525761541823472,12.451280995807569,TOP_ROR,[],NONE
EPCORITAMAB + RITUXIMAB,220,197,8.282971993054119,5.377873153009169,12.75738997289845,TOP_ROR,['BIOLOGICS'],BIOLOGICS
DESOXIMETASONE + ORENCIA,315,282,8.26533531970474,5.762901021190376,11.854405913958844,TOP_ROR,[],NONE
DESOXIMETASONE + ERELZI,315,282,8.26533531970474,5.762901021190376,11.854405913958844,TOP_ROR,[],NONE
CASPOFUNGIN + CYCLOPHOSPHAMIDE,105,94,8.262071506355163,4.42414471303273,15.429383531474206,TOP_ROR,['ANTINEOPLASTICS'],ANTINEOPLASTICS
ACTEMRA + OXYCODONE,200,179,8.242614750150457,5.2445872646675955,12.95444131077948,TOP_ROR,"['BIOLOGICS', 'OPIOIDS']","BIOLOGICS, OPIOIDS"
ALENDRONIC ACID + SULFASALAZINE,199,178,8.196547033211637,5.214580183804318,12.883756870075894,TOP_ROR,[],NONE
DICLOFENAC + OXYCODONE HYDROCHLORIDE,161,144,8.190545033120681,4.954591028179561,13.539972836915773,TOP_ROR,['OPIOIDS'],OPIOIDS
CETIRIZINE + ORENCIA,161,144,8.190545033120681,4.954591028179561,13.539972836915773,TOP_ROR,[],NONE
AIMOVIG + DOMPERIDONE MALEATE,104,93,8.174157596264006,4.37552982570246,15.27057409506598,TOP_ROR,[],NONE
ATIVAN + IBUPROFEN,104,93,8.174157596264006,4.37552982570246,15.27057409506598,TOP_ROR,[],NONE
EPCORITAMAB + PREDNISONE,151,135,8.158395407358551,4.858867152959123,13.69854608646244,TOP_ROR,[],NONE
PHTHALYLSULFATHIAZOLE + XELJANZ,264,236,8.15148796789572,5.509170162940479,12.061118848302778,TOP_ROR,[],NONE
APREMILAST + INFLIXIMAB,132,118,8.149471389415089,4.682818504479289,14.182459530167092,TOP_ROR,['BIOLOGICS'],BIOLOGICS
