PAIR,N_EXPOSED,A_SERIOUS_EXPOSED,B_NONSERIOUS_EXPOSED,ROR,CI_LOWER,CI_UPPER,CHI2,P_VALUE,P_VALUE_RANK,P_VALUE_FDR,SIGNAL,PCT_SERIOUS,FLAG_HIGH_SERIOUS_RATE,CI_RATIO,FLAG_WIDE_CI,FLAG_SMALL_N_HIGH_ROR,FLAG_POSSIBLE_VETERINARY,FLAG_SAME_DRUG,QUALITY_FLAGS
STELARA + SULFASALAZINE,220,198,22,8.703469737493098,5.602558246579689,13.520677900618542,133.4061260293522,7.368573394982792e-31,594,2.808716584082852e-28,True,90.0,False,2.4133042987768656,False,False,False,False,0
POLYETHYLENE GLYCOL + PROCHLORPERAZINE,120,108,12,8.701812994200425,4.792761369000864,15.799148665275798,72.05182977115935,2.0961872158110045e-17,2694,1.7617465368578174e-15,True,90.0,False,3.2964605263811433,False,False,False,False,0
MYCOPHENOLATE MOFETIL + TRIAMCINOLONE ACETONIDE,120,108,12,8.701812994200425,4.792761369000864,15.799148665275798,72.05182977115935,2.0961872158110045e-17,2693,1.7617465368578174e-15,True,90.0,False,3.2964605263811433,False,False,False,False,0
DESOXIMETASONE + IBUPROFEN,110,99,11,8.70164735906406,4.667242745930834,16.22342588191333,65.91759903548515,4.701745578747908e-16,3156,3.3731300077596446e-14,True,90.0,False,3.4760193041293657,False,False,False,False,0
ERELZI + INFLIXIMAB,309,278,31,8.673740102142428,5.9843024801845495,12.57185237688614,187.71405531534828,1.0030415007228692e-42,191,1.1890400550296888e-39,True,89.96763754045307,False,2.100804967415089,False,False,False,False,0
PREGABALIN + SULFAMETHOXAZOLE / TRIMETHOPRIM,199,179,20,8.654766878262366,5.452011319681605,13.738964452744703,120.2090011310912,5.693483013137401e-28,797,1.6174492307008079e-25,True,89.9497487437186,False,2.519980911108426,False,False,False,False,0
RAMIPRIL + XELJANZ,139,125,14,8.633059018159697,4.968876374141635,14.999308173350022,83.39738681685463,6.711065005343579e-20,2002,7.589939642257154e-18,True,89.92805755395683,False,3.018651913218736,False,False,False,False,0
CELEBREX + ORENCIA,129,116,13,8.627582133712785,4.8631668181159515,15.30590585473626,77.26292216003085,1.496491848221201e-18,2351,1.440615184058452e-16,True,89.92248062015504,False,3.147312528478295,False,False,False,False,0
MESNA + ONDANSETRON,129,116,13,8.627582133712785,4.8631668181159515,15.30590585473626,77.26292216003085,1.496491848221201e-18,2352,1.440615184058452e-16,True,89.92248062015504,False,3.147312528478295,False,False,False,False,0
CORTISONE ACETATE + KEVZARA,119,107,12,8.621220050340916,4.747049778829611,15.657184697718764,71.12874159139336,3.3465922742181277e-17,2752,2.7533747439822672e-15,True,89.91596638655463,False,3.298297980262397,False,False,False,False,0
CETIRIZINE HYDROCHLORIDE + COSENTYX,218,196,22,8.61551471752934,5.544694398783588,13.387048682836118,131.55648713850766,1.870746817403153e-30,622,6.8098191785014005e-28,True,89.90825688073394,False,2.414388913079323,False,False,False,False,0
PANTOPRAZOLE + PEMBROLIZUMAB,109,98,11,8.613731348211825,4.618620122511057,16.06461795321411,64.99488226422474,7.509284155762991e-16,3217,5.2835211310737886e-14,True,89.90825688073394,False,3.4782288924164817,False,False,False,False,0
CALCIUM CARBONATE + MIRTAZAPINE,109,98,11,8.613731348211825,4.618620122511057,16.06461795321411,64.99488226422474,7.509284155762991e-16,3216,5.2835211310737886e-14,True,89.90825688073394,False,3.4782288924164817,False,False,False,False,0
HYDROXYCHLOROQUINE + TRIAMCINOLONE ACETONIDE,109,98,11,8.613731348211825,4.618620122511057,16.06461795321411,64.99488226422474,7.509284155762991e-16,3218,5.2835211310737886e-14,True,89.90825688073394,False,3.4782288924164817,False,False,False,False,0
LEFLUNOMIDE + PSEUDOEPHEDRINE HYDROCHLORIDE,198,178,20,8.606395655925184,5.420833096410273,13.663959924421537,119.28466055066406,9.072883549871e-28,815,2.520569506251156e-25,True,89.8989898989899,False,2.5206383744723557,False,False,False,False,0
OXYCODONE + XELJANZ,158,142,16,8.581566872587794,5.117824729508592,14.38956859231234,94.74348666198992,2.167254166015464e-22,1512,3.2454057788418607e-20,True,89.87341772151899,False,2.811657169372037,False,False,False,False,0
LEFLUNOMIDE + METHYLPREDNISOLONE SODIUM SUCCINATE,138,124,14,8.563974080657754,4.928008170845124,14.88261575702708,82.47433925779661,1.070509251233334e-19,2042,1.1869861099204162e-17,True,89.85507246376811,False,3.0200063070258265,False,False,False,False,0
COSENTYX + XELJANZ,266,239,27,8.560935889277365,5.750273733279588,12.745414688026948,160.3898616618664,9.299698914176468e-37,321,6.559561460280396e-34,True,89.84962406015038,False,2.216488341113768,False,False,False,False,0
CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE + HUMIRA,166,149,17,8.475040226635585,5.131257995661915,13.997796817820308,99.03240928206732,2.4840316619482022e-23,1371,4.10233027596636e-21,True,89.7590361445783,False,2.727946408006452,False,False,False,False,0
MEROPENEM + PREDNISONE,244,219,25,8.471739616796695,5.6009900535323585,12.813872449128771,146.26918894335844,1.133686015302072e-33,440,5.833793641196921e-31,True,89.75409836065575,False,2.287787038837444,False,False,False,False,0
ACETAMINOPHEN + DESOXIMETASONE,390,350,40,8.464405349120236,6.102559138323776,11.740346351464394,234.63309568862937,5.820823479670882e-53,94,1.402062990021406e-49,True,89.74358974358975,False,1.9238398326589885,False,False,False,False,0
LEFLUNOMIDE + MYCOPHENOLATE MOFETIL,369,331,38,8.42587893790557,6.022910464326267,11.787562889527758,221.43264530770344,4.404449384882768e-50,116,8.596953627813677e-47,True,89.70189701897019,False,1.95712072416576,False,False,False,False,0
ACETAMINOPHEN / CODEINE + PREDNISONE,136,122,14,8.425805196201765,4.846274489219391,14.649230736366317,80.63018600283237,2.7216993710470314e-19,2157,2.85693893460235e-17,True,89.70588235294117,False,3.0227818851271726,False,False,False,False,0
ALENDRONIC ACID + PREDNISONE,301,270,31,8.423974965119445,5.808778722388122,12.216570402217789,180.3178327541576,4.1307115023545204e-41,225,4.1567441641782485e-38,True,89.70099667774086,False,2.1031220134333637,False,False,False,False,0
DICLOFENAC + HYDROCORTISONE,165,148,17,8.41814064401544,5.0959233152730645,13.90623200510766,98.1101940418878,3.95736358539265e-23,1407,6.368289611069176e-21,True,89.6969696969697,False,2.728893498736351,False,False,False,False,0
ACETAMINOPHEN + COSENTYX,329,295,34,8.392296740638821,5.884420070405286,11.969003528003752,196.88227472373904,1.0004962781515725e-44,164,1.3812827213812363e-41,True,89.66565349544074,False,2.034015822255768,False,False,False,False,0
CORTISONE ACETATE + DICLOFENAC SODIUM,212,190,22,8.35165470289527,5.371111885479828,12.986163342631905,126.01718947127968,3.0483138844187356e-29,705,9.789973518898174e-27,True,89.62264150943396,False,2.4177793387135496,False,False,False,False,0
ARAVA + CERTOLIZUMAB PEGOL,106,95,11,8.34998583659251,4.472761226719641,15.588192603438038,62.231742211326626,3.053266087402932e-15,3449,2.004390840758472e-13,True,89.62264150943396,False,3.4851385560929096,False,False,False,False,0
ADALIMUMAB + METHYLPREDNISOLONE SODIUM SUCCINATE,106,95,11,8.34998583659251,4.472761226719641,15.588192603438038,62.231742211326626,3.053266087402932e-15,3448,2.004390840758472e-13,True,89.62264150943396,False,3.4851385560929096,False,False,False,False,0
ADALIMUMAB + PHTHALYLSULFATHIAZOLE,183,164,19,8.346570965644563,5.190566561299645,13.421511132129208,108.53520741266966,2.051732433608488e-25,1079,4.3053675083666976e-23,True,89.61748633879782,False,2.5857507024760413,False,False,False,False,0
DICLOFENAC SODIUM + VOLTARENE,154,138,16,8.339752873109985,4.969844612264161,13.99469871007898,91.054822006096,1.3974619284998045e-21,1675,1.8890181189675745e-19,True,89.6103896103896,False,2.815922790733547,False,False,False,False,0
ALENDRONIC ACID + HUMIRA,154,138,16,8.339752873109985,4.969844612264161,13.99469871007898,91.054822006096,1.3974619284998045e-21,1673,1.8890181189675745e-19,True,89.6103896103896,False,2.815922790733547,False,False,False,False,0
ACTEMRA + STELARA,154,138,16,8.339752873109985,4.969844612264161,13.99469871007898,91.054822006096,1.3974619284998045e-21,1674,1.8890181189675745e-19,True,89.6103896103896,False,2.815922790733547,False,False,False,False,0
ACETAMINOPHEN / CODEINE + METHOTREXATE,125,112,13,8.329999678319172,4.690589657424773,14.793213584769935,73.57628691710114,9.682088799072073e-18,2594,8.451037708975715e-16,True,89.60000000000001,False,3.1538068057933044,False,False,False,False,0
DICLOFENAC SODIUM + METHOTREXATE,623,558,65,8.308037443850509,6.425724561394738,10.7417436755864,372.4259991414739,5.546046374761722e-83,15,8.371498187205332e-79,True,89.56661316211878,False,1.6716782011046625,False,False,False,False,0
