PAIR,N_EXPOSED,A_SERIOUS_EXPOSED,ROR,CI_LOWER,CI_UPPER,PRIORITY_REASON,RISK_CLASSES,RISK_CLASS_STR,IN_DRUGBANK,DRUG_STATUS,VALIDATION_STATUS
CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE + RITUXIMAB,170,153,8.702641276760493,5.272602887373675,14.364056389177492,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE + SIMPONI,150,135,8.70230994235898,5.104520727398269,14.83590769382162,TOP_ROR,[],NONE,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
DESOXIMETASONE + STELARA,130,117,8.701978636461394,4.906313745009104,15.434078643352224,TOP_ROR,[],NONE,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
FOLIC ACID + TOFACITINIB,100,90,8.701481731051835,4.527390389789881,16.723935379326292,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
COSENTYX + KEVZARA,100,90,8.701481731051835,4.527390389789881,16.723935379326292,TOP_ROR,[],NONE,False,NEITHER_KNOWN,UNKNOWN_DRUGS
CELECOXIB + SULFASALAZINE,249,224,8.66526188979427,5.731647710874532,13.100380101216002,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI
CETIRIZINE HYDROCHLORIDE + DESOXIMETASONE,348,313,8.650309400741413,6.099674711293019,12.26751528077686,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
OXYCODONE + PREDNISOLONE,149,134,8.637827744892098,5.0656891681175376,14.7289076913802,TOP_ROR,['OPIOIDS'],OPIOIDS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
ADALIMUMAB + TRIAMCINOLONE ACETONIDE,129,116,8.627582133712785,4.8631668181159515,15.30590585473626,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
KETAMINE + OLANZAPINE,109,98,8.613731348211825,4.618620122511057,16.06461795321411,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI
FLUMETHASONE PIVALATE + STELARA,109,98,8.613731348211825,4.618620122511057,16.06461795321411,TOP_ROR,[],NONE,False,NEITHER_KNOWN,UNKNOWN_DRUGS
ACETAMINOPHEN + CIMZIA,277,249,8.600777874077215,5.819138724540948,12.712083959650174,TOP_ROR,[],NONE,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
CORTISONE ACETATE + INFLIXIMAB,158,142,8.581566872587794,5.117824729508592,14.38956859231234,TOP_ROR,['BIOLOGICS'],BIOLOGICS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI
ALENDRONIC ACID + CIMZIA,158,142,8.581566872587794,5.117824729508592,14.38956859231234,TOP_ROR,[],NONE,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
ADALIMUMAB + CELECOXIB,226,203,8.535367654761092,5.5454474602602835,13.137353031295774,TOP_ROR,['BIOLOGICS'],BIOLOGICS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI
HYDROCORTISONE + SULFAMETHOXAZOLE / TRIMETHOPRIM,196,176,8.509653904892557,5.358477986540805,13.513951118757989,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI
ENBREL + OXYCODONE TEREPHTHALATE,117,105,8.460035318125989,4.6556302936779455,15.37325626588727,TOP_ROR,"['BIOLOGICS', 'OPIOIDS']","BIOLOGICS, OPIOIDS",False,NEITHER_KNOWN,UNKNOWN_DRUGS
CIMZIA + PANTOPRAZOLE SODIUM,146,131,8.444383001637767,4.949199164325964,14.407907604999435,TOP_ROR,[],NONE,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
APREPITANT + FOLIC ACID,107,96,8.437900586979062,4.5213793256279295,15.747001343633915,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
PANTOPRAZOLE + PEMBROLIZUMAB,107,96,8.437900586979062,4.5213793256279295,15.747001343633915,TOP_ROR,['ANTINEOPLASTICS'],ANTINEOPLASTICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
LEFLUNOMIDE + TOFACITINIB CITRATE,107,96,8.437900586979062,4.5213793256279295,15.747001343633915,TOP_ROR,[],NONE,False,ONE_DRUG_KNOWN,PARTIAL_MATCH
LEFLUNOMIDE + MYCOPHENOLATE MOFETIL,369,331,8.42587893790557,6.022910464326267,11.787562889527758,TOP_ROR,['IMMUNOSUPPRESSANTS'],IMMUNOSUPPRESSANTS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI
ADALIMUMAB + PSEUDOEPHEDRINE HYDROCHLORIDE,136,122,8.425805196201765,4.846274489219391,14.649230736366317,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
DESOXIMETASONE + PHTHALYLSULFATHIAZOLE,262,235,8.417576143570043,5.652038435154005,12.536289154033128,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
FUROSEMIDE + OXAZEPAM,184,165,8.397484760411864,5.223009404998911,13.501363837073969,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI
