PAIR,ROR_H1,N_EXPOSED_H1,SIGNAL_H1,ROR_H2,N_EXPOSED_H2,SIGNAL_H2,STABLE,UNSTABLE
(-)-ARTERENOL + 3-HYDROXYTYRAMINE,11.11700002866945,25,True,7.54045844204249,44,True,True,False
(-)-ARTERENOL + ACETAMINOPHEN,3.286786619615676,44,True,14.50116117378901,48,True,True,False
(-)-ARTERENOL + ACYCLOVIR,9.18352095716825,21,True,23.20020068088156,12,True,True,False
(-)-ARTERENOL + ALBUMIN HUMAN,5.800021501523025,14,True,9.666887260581936,22,True,True,False
(-)-ARTERENOL + ALBUTEROL,25.13432928533714,27,True,4.060072246670776,26,True,True,False
(-)-ARTERENOL + ALLOPURINOL,14.500677327102402,32,True,14.500193515094177,16,True,True,False
(-)-ARTERENOL + AMIODARONE,14.01728792664338,31,True,9.344835522595831,32,True,True,False
(-)-ARTERENOL + AMIODARONE HYDROCHLORIDE,16.433631172802638,18,True,1.6916443690572889,11,False,False,True
(-)-ARTERENOL + AMLODIPINE,28.034645138786026,30,True,11.278411443898648,38,True,True,False
(-)-ARTERENOL + AMOXICILLIN / CLAVULANATE,4.3499849490417555,11,False,6.766724083971016,16,True,True,False
(-)-ARTERENOL + ASPIRIN,5.800021501523025,14,True,9.022578258580827,31,True,True,False
(-)-ARTERENOL + ATORVASTATIN,4.833328157065486,12,True,20.30056191855048,22,True,True,False
(-)-ARTERENOL + AZITHROMYCIN,8.699991399452431,10,True,5.075102851163257,25,True,True,False
(-)-ARTERENOL + AZTREONAM,12.566774333809551,14,True,4.833328157065486,12,True,True,False
(-)-ARTERENOL + CALCIUM,19.33340819012989,10,True,10.633373628683918,12,True,True,False
(-)-ARTERENOL + CALCIUM GLUCONATE,17.400356930398573,19,True,5.155611194596218,19,True,True,False
(-)-ARTERENOL + CEFEPIME,2.90003727010794,28,True,2.4166521332992494,14,False,True,False
(-)-ARTERENOL + CEFTAZIDIME,14.500193515094177,16,True,21.266799816520773,11,True,True,False
(-)-ARTERENOL + CEFTRIAXONE,6.766916969889549,32,True,5.478031854189712,40,True,True,False
(-)-ARTERENOL + CLINDAMYCIN,12.566774333809551,14,True,4.511138240322874,17,True,True,False
(-)-ARTERENOL + CYCLOPHOSPHAMIDE,6.041846847062084,29,True,6.766724083971016,16,True,True,False
(-)-ARTERENOL + DEXAMETHASONE,3.504270017536399,37,True,2.8999964164128293,16,False,True,False
(-)-ARTERENOL + DEXMEDETOMIDINE,5.800021501523025,14,True,5.800021501523025,14,True,True,False
(-)-ARTERENOL + DEXTROSE,3.625021501677131,19,True,13.050516055045872,29,True,True,False
(-)-ARTERENOL + DIAZEPAM,10.633373628683918,12,True,16.433631172802638,18,True,True,False
(-)-ARTERENOL + DOBUTAMINE,11.601287372140863,65,True,4.833694512074201,60,True,True,False
(-)-ARTERENOL + ENOXAPARIN,29.000458702445457,15,True,2.07142549976041,22,False,True,False
(-)-ARTERENOL + EPINEPHRINE,2.5781182668511424,143,True,4.6112338945875,150,True,True,False
(-)-ARTERENOL + FENTANYL,7.153734081949588,42,True,5.0485016698257965,56,True,True,False
(-)-ARTERENOL + FUROSEMIDE,12.567852150955115,56,True,10.05425687218512,57,True,True,False
(-)-ARTERENOL + GABAPENTIN,48.335252602959656,25,True,27.06703012377769,14,True,True,False
(-)-ARTERENOL + HEPARIN,3.866753630875161,30,True,3.866781027286476,35,True,True,False
(-)-ARTERENOL + HEPARIN SODIUM,48.335252602959656,25,True,13.53348161491544,15,True,True,False
(-)-ARTERENOL + HYDROCORTISONE,2.6100516055045873,37,True,13.051293446394908,58,True,True,False
(-)-ARTERENOL + HYDROMORPHONE,18.367087307199785,20,True,40.60122417969926,21,True,True,False
(-)-ARTERENOL + INSULIN,4.994640303010032,37,True,7.153734081949588,42,True,True,False
(-)-ARTERENOL + KETAMINE,23.20020068088156,12,True,15.466910034378875,17,True,True,False
(-)-ARTERENOL + LANSOPRAZOLE,58.00299600771221,30,True,34.8007998681221,18,True,True,False
(-)-ARTERENOL + LEVETIRACETAM,7.7334359045418815,18,True,12.08375342243204,27,True,True,False
(-)-ARTERENOL + LIDOCAINE,14.500193515094177,16,True,7.089067010699254,25,True,True,False
(-)-ARTERENOL + LINEZOLID,1.933312469091856,12,False,7.491997486596776,35,True,False,True
(-)-ARTERENOL + LOPERAMIDE,21.266799816520773,11,True,19.33340819012989,10,True,True,False
(-)-ARTERENOL + LORAZEPAM,3.5444403565103273,14,False,4.833465531988092,30,True,True,False
(-)-ARTERENOL + MAGNESIUM,14.500193515094177,16,True,5.316673674553725,13,True,True,False
(-)-ARTERENOL + MEROPENEM,2.1608464424644636,55,True,8.378985079572164,87,True,True,False
(-)-ARTERENOL + METFORMIN,1.0740543423180071,19,False,18.367087307199785,20,True,False,True
(-)-ARTERENOL + METHYLENE BLUE,2.803402156929266,39,True,5.155770050132798,38,True,True,False
(-)-ARTERENOL + METHYLPREDNISOLONE,6.2836998384892535,45,True,8.055815705518736,28,True,True,False
(-)-ARTERENOL + METOPROLOL,3.8666714447828943,15,True,2.7389046834062003,23,True,True,False
(-)-ARTERENOL + METRONIDAZOLE,7.153734081949588,42,True,8.378068350053317,29,True,True,False
(-)-ARTERENOL + MICAFUNGIN,4.3499849490417555,11,False,5.316673674553725,13,True,True,False
(-)-ARTERENOL + MIDAZOLAM,3.251649091560691,48,True,19.334698373181507,42,True,True,False
(-)-ARTERENOL + MILRINONE,9.66668020459796,11,True,3.222210807887995,13,False,True,False
(-)-ARTERENOL + MORPHINE,7.250078839482813,17,True,5.316673674553725,13,True,True,False
(-)-ARTERENOL + ONDANSETRON,15.467463057423757,34,True,50.26878280585148,26,True,True,False
(-)-ARTERENOL + PANTOPRAZOLE,4.108377332345844,21,True,2.779208794831854,31,True,True,False
(-)-ARTERENOL + PHENYLEPHRINE,1.7576129714551445,62,False,3.3395394782711443,49,True,False,True
(-)-ARTERENOL + PHYTONADIONE,23.200808480443804,25,True,30.93389651934797,16,True,True,False
(-)-ARTERENOL + PIPERACILLIN / TAZOBACTAM,2.1750069880951526,26,False,2.5485411167084915,40,True,True,False
(-)-ARTERENOL + PIPERACILLIN SODIUM\TAZOBACTAM SODIUM,6.444575579696122,23,True,4.446767041599373,28,True,True,False
(-)-ARTERENOL + POTASSIUM CHLORIDE,8.055815705518736,28,True,46.40173163896474,24,True,True,False
(-)-ARTERENOL + PREDNISONE,7.008609320572059,33,True,6.766820525317393,24,True,True,False
(-)-ARTERENOL + PROPOFOL,3.271968195897159,57,True,4.212288569203074,75,True,True,False
(-)-ARTERENOL + QUETIAPINE,5.800021501523025,14,True,23.20020068088156,12,True,True,False
(-)-ARTERENOL + ROCURONIUM,9.18352095716825,21,True,20.30056191855048,22,True,True,False
(-)-ARTERENOL + SODIUM BICARBONATE,6.573654471476731,39,True,12.32613323585068,55,True,True,False
(-)-ARTERENOL + SODIUM CHLORIDE,2.2095258118011727,23,False,8.700156963368046,20,True,True,False
(-)-ARTERENOL + TACROLIMUS,2.658323697488628,15,False,12.08375342243204,27,True,True,False
(-)-ARTERENOL + THIAMINE,7.7334359045418815,18,True,30.93389651934797,16,True,True,False
(-)-ARTERENOL + VANCOMYCIN,3.7979106564304352,69,True,4.005306366274108,108,True,True,False
(-)-ARTERENOL + VASOPRESSIN,2.900595780070404,192,True,3.898637036607633,156,True,True,False
(-)-ARTERENOL + VORICONAZOLE,8.699991399452431,10,True,6.766724083971016,16,True,True,False
3-HYDROXYTYRAMINE + AMINOPHYLLINE,2.255531399812063,10,False,12.566774333809551,14,True,True,False
3-HYDROXYTYRAMINE + DOBUTAMINE,2.1750069880951526,26,False,3.8666714447828943,15,True,True,False
3-HYDROXYTYRAMINE + EPINEPHRINE,4.281109679128105,38,True,5.606873599357795,34,True,True,False
3-HYDROXYTYRAMINE + FUROSEMIDE,2.4166521332992494,14,False,11.11700002866945,25,True,True,False
3-HYDROXYTYRAMINE + HYDROCORTISONE,7.250078839482813,17,True,9.18352095716825,21,True,True,False
3-HYDROXYTYRAMINE + MIDAZOLAM,29.000458702445457,15,True,4.833328157065486,12,True,True,False
3-HYDROXYTYRAMINE + VASOPRESSIN,11.600071671743414,13,True,11.11700002866945,25,True,True,False
8-1 MARVEL AID + ACETAMINOPHEN,7.250078839482813,17,True,11.11700002866945,25,True,True,False
8-1 MARVEL AID + ACETAMINOPHEN\OXYCODONE HYDROCHLORIDE,9.66668020459796,11,True,8.699991399452431,10,True,True,False
8-1 MARVEL AID + ACTEMRA,11.600071671743414,13,True,6.766724083971016,16,True,True,False
8-1 MARVEL AID + ARAVA,10.633373628683918,12,True,10.633373628683918,12,True,True,False
8-1 MARVEL AID + CHLORHEXIDINE GLUCONATE,21.266799816520773,11,True,3.8666714447828943,15,True,True,False
8-1 MARVEL AID + CLORHEXIDINA,8.699991399452431,10,True,29.000458702445457,15,True,True,False
8-1 MARVEL AID + ENBREL,8.699991399452431,10,True,7.7334359045418815,18,True,True,False
8-1 MARVEL AID + ERELZI,19.33340819012989,10,True,29.000458702445457,15,True,True,False
8-1 MARVEL AID + FOSAMAX,19.33340819012989,10,True,23.20020068088156,12,True,True,False
8-1 MARVEL AID + HUMIRA,23.20020068088156,12,True,19.33340819012989,10,True,True,False
8-1 MARVEL AID + IBUPROFEN,14.500193515094177,16,True,6.122332173824405,22,True,True,False
8-1 MARVEL AID + LEFLUNOMIDE,27.06703012377769,14,True,5.800021501523025,14,True,True,False
8-1 MARVEL AID + METHOTREXATE,3.8666714447828943,15,True,6.283371637989937,15,True,True,False
8-1 MARVEL AID + OXYCODONE HYDROCHLORIDE,21.266799816520773,11,True,23.20020068088156,12,True,True,False
8-1 MARVEL AID + PANTOPRAZOLE SODIUM,11.600071671743414,13,True,7.250078839482813,17,True,True,False
8-1 MARVEL AID + QUETIAPINE FUMARATE,23.20020068088156,12,True,23.20020068088156,12,True,True,False
