RISK_CLASS,DRUG_COUNT,EXAMPLE_DRUGS
Alimentary/Metabolism,69,"AKYNZEO, ALFACALCIDOL, ASCORBIC ACID, BISACODYL, CALCITRIOL"
Antineoplastic,61,"ALIMTA, ASPARAGINASE, ATEZOLIZUMAB, AVASTIN, AZACITIDINE"
Immunosuppressant,43,"ACTEMRA, ADALIMUMAB, ANAKINRA, ANTI-THYMOCYTE GLOBULIN, APREMILAST"
Cardiovascular (Other),43,"ADEMPAS, ALDACTONE, AMBRISENTAN, AMIODARONE, AMIODARONE HYDROCHLORIDE"
Psycholeptic,35,"ALPRAZOLAM, ARIPIPRAZOLE, ATIVAN, BROMAZEPAM, BUSPIRONE"
Antibacterial,34,"AMIKACIN, AMOXICILLIN, AMOXICILLIN / CLAVULANATE, AMPICILLIN, AUGMENTIN"
Antidiabetic,34,"BASAGLAR, DAPAGLIFLOZIN, EMPAGLIFLOZIN, FARXIGA, GLICLAZIDE"
Analgesic/Opioid,32,"ACETAMINOPHEN, ACETAMINOPHEN / CODEINE, ACETAMINOPHEN / HYDROCODONE, ACETAMINOPHEN\CODEINE PHOSPHATE, ACETAMINOPHEN\OXYCODONE HYDROCHLORIDE"
Anti-asthmatic,28,"ADVAIR HFA, ALBUTEROL, ALBUTEROL / IPRATROPIUM, ALBUTEROL SULFATE, ALVESCO"
Psychoanaleptic,27,"AMITRIPTYLINE, AMITRIPTYLINE HYDROCHLORIDE, AMPHETAMINE, BUPROPION, CAFFEINE"
Unclassified,25,"(-)-ARTERENOL, AZTREONAM LYSINE, BMS-830216, CAVIAR, UNSPECIFIED, DARATUMUMAB/HYALURONIDASE-FIHJ"
Antithrombotic,23,"APIXABAN, ASPIRIN, CLOPIDOGREL, CLOPIDOGREL BISULFATE, EDOXABAN TOSYLATE"
Respiratory (Other),22,"ACETYLCYSTEINE, BENZONATATE, CETIRIZINE, CETIRIZINE HYDROCHLORIDE, CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE"
Musculoskeletal (Other),19,"ALENDRONATE, ALENDRONATE / CHOLECALCIFEROL, ALENDRONATE SODIUM, ALENDRONIC ACID, ALLOPURINOL"
RAAS Inhibitor,17,"AMLODIPINE, AZILSARTAN KAMEDOXOMIL, CANDESARTAN, CANDESARTAN CILEXETIL, COZAAR"
Anti-inflammatory (NSAID),16,"DICLOFENAC, DICLOFENAC DIETHYLAMMONIUM, DICLOFENAC POTASSIUM, DICLOFENAC SODIUM, DIPHENHYDRAMINE"
Narrow Therapeutic Index,16,"CARBAMAZEPINE, CYCLOSPORINE, DIGOXIN, DIVALPROEX SODIUM, FOSPHENYTOIN"
Blood (Other),14,"ALBUMIN HUMAN, CHLORHEXIDINE GLUCONATE, CYANOCOBALAMIN, DEXTROSE, ELTROMBOPAG OLAMINE"
Corticosteroid,13,"BETAMETHASONE, CORTISONE ACETATE, DECADRON, DEXAMETHASONE, HYDROCORTISONE"
Antiepileptic,13,"CLONAZEPAM, DEPAKOTE, EPIDIOLEX, KEPPRA, LACOSAMIDE"
Anti-infective (Other),13,"AMPHOTERICIN B, BEDAQUILINE, CASPOFUNGIN, COVID-19 VACCINE MRNA, FLUCONAZOLE"
Genitourinary,12,"ADCIRCA, DUTASTERIDE, EXTRANEAL, FINASTERIDE, MIRABEGRON"
Nervous System (Other),12,"BENSERAZIDE / LEVODOPA, CARBIDOPA / LEVODOPA, DALFAMPRIDINE, METHADONE, METHADONE HYDROCHLORIDE"
Lipid Modifying,11,"ATORVASTATIN, ATORVASTATIN CALCIUM, COLESTYRAMINE, CRESTOR, EZETIMIBE"
Beta Blocker,10,"ATENOLOL, BISOPROLOL, BISOPROLOL FUMARATE, CARVEDILOL, LABETOLOL"
Antiviral,9,"ACYCLOVIR, ENTECAVIR, GANCICLOVIR, PAXLOVID, REMDESIVIR"
Anesthetic,7,"BENZOYLECGONINE, COCAINE, KETAMINE, KETAMINE HYDROCHLORIDE, PROPOFOL"
Dermatological,5,"CLORHEXIDINA, CLOTRIMAZOLE, DESOXIMETASONE, DUPIXENT, FLUMETHASONE PIVALATE"
Hormonal,5,"LEVOTHYROXINE SODIUM, LT4, METHIMAZOLE, SYNTHROID, VASOPRESSIN"
Antineoplastic/Immuno (Other),5,"ANASTROZOLE, ELIGARD, FILGRASTIM, G CSF, LETROZOLE"
Antiparasitic,4,"ATOVAQUONE, HYDROXYCHLOROQUINE, HYDROXYCHLOROQUINE SULFATE, PLAQUENIL"
Various,4,"ALCOHOL, FOLINIC ACID, LEUCOVORIN CALCIUM, OXYGEN"
Sensory,1,LATANOPROST
