PAIR,N_EXPOSED,A_SERIOUS_EXPOSED,ROR,CI_LOWER,CI_UPPER,PRIORITY_REASON,RISK_CLASSES,RISK_CLASS_STR,IN_DRUGBANK,DRUG_STATUS,VALIDATION_STATUS,DRUGBANK_DESCRIPTION
CELECOXIB + SULFASALAZINE,249,224,8.66526188979427,5.731647710874532,13.100380101216002,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The risk or severity of adverse effects can be increased when Celecoxib is combined with Sulfasalazine.
KETAMINE + OLANZAPINE,109,98,8.613731348211825,4.618620122511057,16.06461795321411,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The risk or severity of CNS depression can be increased when Olanzapine is combined with Ketamine.
CORTISONE ACETATE + INFLIXIMAB,158,142,8.581566872587794,5.117824729508592,14.38956859231234,TOP_ROR,['BIOLOGICS'],BIOLOGICS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The risk or severity of adverse effects can be increased when Infliximab is combined with Cortisone acetate.
ADALIMUMAB + CELECOXIB,226,203,8.535367654761092,5.5454474602602835,13.137353031295774,TOP_ROR,['BIOLOGICS'],BIOLOGICS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The metabolism of Celecoxib can be increased when combined with Adalimumab.
HYDROCORTISONE + SULFAMETHOXAZOLE / TRIMETHOPRIM,196,176,8.509653904892557,5.358477986540805,13.513951118757989,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,
LEFLUNOMIDE + MYCOPHENOLATE MOFETIL,369,331,8.42587893790557,6.022910464326267,11.787562889527758,TOP_ROR,['IMMUNOSUPPRESSANTS'],IMMUNOSUPPRESSANTS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The risk or severity of adverse effects can be increased when Mycophenolate mofetil is combined with Leflunomide.
FUROSEMIDE + OXAZEPAM,184,165,8.397484760411864,5.223009404998911,13.501363837073969,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,Furosemide may decrease the excretion rate of Oxazepam which could result in a higher serum level.
CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE + METHOTREXATE,174,156,8.380360601070826,5.144716764432855,13.650983527316155,TOP_ROR,['ANTINEOPLASTICS'],ANTINEOPLASTICS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,
HYDROCORTISONE ACETATE + METHOTREXATE,125,112,8.329999678319172,4.690589657424773,14.793213584769935,TOP_ROR,['ANTINEOPLASTICS'],ANTINEOPLASTICS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The metabolism of Methotrexate can be increased when combined with Hydrocortisone acetate.
DESOXIMETASONE + DICLOFENAC,239,214,8.27822196939095,5.470340002763923,12.527367392133272,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The risk or severity of gastrointestinal irritation can be increased when Desoximetasone is combined with Diclofenac.
DICLOFENAC SODIUM + METHOTREXATE,618,553,8.233494183947496,6.367298987355703,10.646653567190215,TOP_ROR,['ANTINEOPLASTICS'],ANTINEOPLASTICS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,
OLANZAPINE + SULFAMETHOXAZOLE / TRIMETHOPRIM,104,93,8.174157596264006,4.37552982570246,15.27057409506598,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,
CETIRIZINE HYDROCHLORIDE + TRAMADOL HYDROCHLORIDE,132,118,8.149471389415089,4.682818504479289,14.182459530167092,TOP_ROR,['OPIOIDS'],OPIOIDS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,
INFLIXIMAB + QUETIAPINE FUMARATE,113,101,8.137670475635186,4.472806898432779,14.805396761757804,TOP_ROR,['BIOLOGICS'],BIOLOGICS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,
CELECOXIB + CHOLECALCIFEROL,160,143,8.1336468102837,4.919259611982441,13.448408023291442,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The metabolism of Celecoxib can be decreased when combined with Cholecalciferol.
APREMILAST + INFLIXIMAB,131,117,8.080388763147385,4.641956984968906,14.06576639443717,TOP_ROR,['BIOLOGICS'],BIOLOGICS,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The therapeutic efficacy of Apremilast can be decreased when used in combination with Infliximab.
DICLOFENAC + HYDROCORTISONE,187,167,8.074327470006214,5.077903042013302,12.838914716073091,TOP_ROR,[],NONE,True,BOTH_DRUGS_KNOWN,KNOWN_DDI,The risk or severity of gastrointestinal irritation can be increased when Hydrocortisone is combined with Diclofenac.
