PAIR,N_EXPOSED,A_SERIOUS_EXPOSED,ROR,CI_LOWER,CI_UPPER,PRIORITY_REASON,RISK_CLASSES,RISK_CLASS_STR,IN_DRUGBANK,DRUG_STATUS,VALIDATION_STATUS
CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE + RITUXIMAB,170,153,8.702641276760493,5.272602887373675,14.364056389177492,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
FOLIC ACID + TOFACITINIB,100,90,8.701481731051835,4.527390389789881,16.723935379326292,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
CETIRIZINE HYDROCHLORIDE + DESOXIMETASONE,348,313,8.650309400741413,6.099674711293019,12.26751528077686,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
OXYCODONE + PREDNISOLONE,149,134,8.637827744892098,5.0656891681175376,14.7289076913802,TOP_ROR,['OPIOIDS'],OPIOIDS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
APREPITANT + FOLIC ACID,107,96,8.437900586979062,4.5213793256279295,15.747001343633915,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
PANTOPRAZOLE + PEMBROLIZUMAB,107,96,8.437900586979062,4.5213793256279295,15.747001343633915,TOP_ROR,['ANTINEOPLASTICS'],ANTINEOPLASTICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
ADALIMUMAB + PSEUDOEPHEDRINE HYDROCHLORIDE,136,122,8.425805196201765,4.846274489219391,14.649230736366317,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
DESOXIMETASONE + PHTHALYLSULFATHIAZOLE,262,235,8.417576143570043,5.652038435154005,12.536289154033128,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
CETIRIZINE + RITUXIMAB,319,286,8.382654276864427,5.846244888892753,12.019491838074885,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
POLYETHYLENE GLYCOL + PROCHLORPERAZINE,116,104,8.379443529765048,4.6099224538861785,15.2312917561834,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
FLUDARABINE + ONDANSETRON,106,95,8.34998583659251,4.472761226719641,15.588192603438038,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
ONDANSETRON + VANCOMYCIN,154,138,8.339752873109985,4.969844612264161,13.99469871007898,TOP_ROR,['NARROW_THERAPEUTIC_INDEX'],NARROW_THERAPEUTIC_INDEX,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
CALCIUM CARBONATE + OXYCODONE,125,112,8.329999678319172,4.690589657424773,14.793213584769935,TOP_ROR,['OPIOIDS'],OPIOIDS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
DICLOFENAC + RITUXIMAB,450,403,8.295510405477625,6.13234042040394,11.22173398241558,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE + PHTHALYLSULFATHIAZOLE,143,128,8.250941032056506,4.832716447272063,14.086907158168133,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
QUETIAPINE FUMARATE + RITUXIMAB,284,254,8.188642700113705,5.608790663395043,11.955138512789002,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
LEFLUNOMIDE + PSEUDOEPHEDRINE HYDROCHLORIDE,208,186,8.175752230732979,5.255398024840552,12.718908105987506,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
CEFEPIME + CYCLOPHOSPHAMIDE,103,92,8.08624410631603,4.326916607550554,15.111764260219058,TOP_ROR,['ANTINEOPLASTICS'],ANTINEOPLASTICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
EPCORITAMAB + RITUXIMAB,215,192,8.072647804732059,5.238237980369747,12.44075638095492,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
LEFLUNOMIDE + PHTHALYLSULFATHIAZOLE,222,198,7.978141155718721,5.2228642399821705,12.186940608816238,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
CYCLOPHOSPHAMIDE + VALACICLOVIR,119,106,7.883636661750842,4.431758042851576,14.02416973434564,TOP_ROR,['ANTINEOPLASTICS'],ANTINEOPLASTICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
HYDROXYCHLOROQUINE SULFATE + RAMIPRIL,127,113,7.80406155972141,4.4785214096012185,13.598992001546414,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
DARATUMUMAB/HYALURONIDASE-FIHJ + DEXAMETHASONE,154,137,7.7922631841600305,4.707285804532272,12.899018256498044,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
ASCORBIC ACID + INFLIXIMAB,143,127,7.6747882115375425,4.5629619148958325,12.908802481929172,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
ACYCLOVIR + VINCRISTINE,196,174,7.648064993635041,4.9082968363107575,11.917147657848462,TOP_ROR,['ANTINEOPLASTICS'],ANTINEOPLASTICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
PHTHALYLSULFATHIAZOLE + SULFASALAZINE,283,251,7.58608914245965,5.250820389777922,10.959953722541655,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
ALENDRONIC ACID + PHTHALYLSULFATHIAZOLE,140,124,7.493440280263727,4.452011513977967,12.61264645376136,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
OXYCODONE HYDROCHLORIDE + PANTOPRAZOLE SODIUM,243,215,7.42577094752312,5.008548589144876,11.0095915380733,TOP_ROR,['OPIOIDS'],OPIOIDS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
ALENDRONIC ACID + HYDROXYCHLOROQUINE SULFATE,147,130,7.393994660214578,4.4600172966646685,12.258059419672293,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
ATORVASTATIN + OXALIPLATIN,121,107,7.389580659256629,4.233402027439288,12.898822735408809,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
AMLODIPINE + PIPERACILLIN SODIUM\TAZOBACTAM SODIUM,112,99,7.362895985989121,4.129846405012917,13.126937901295916,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
METHOTREXATE + OXYCODONE,463,409,7.327641091344586,5.51701333578271,9.732498490679095,TOP_ROR,"['OPIOIDS', 'ANTINEOPLASTICS']","OPIOIDS, ANTINEOPLASTICS",False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
CETIRIZINE HYDROCHLORIDE + INFLIXIMAB,195,172,7.23140131832916,4.679798805799038,11.174233593532469,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
ADALIMUMAB + CETIRIZINE,177,156,7.183112969299939,4.554546420297235,11.32870480796586,TOP_ROR,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
NAPROXEN + OXYCODONE,202,178,7.17192547642777,4.683050045365265,10.983550152392567,TOP_ROR,['OPIOIDS'],OPIOIDS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
LINEZOLID + PANTOPRAZOLE,109,96,7.139726743503169,4.000477544188981,12.742403227819818,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
HYDROXYCHLOROQUINE SULFATE + PSEUDOEPHEDRINE HYDROCHLORIDE,176,155,7.137050316647001,4.5245509969628195,11.258020355289112,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
LEVETIRACETAM + POLYETHYLENE GLYCOL,108,95,7.065337707034561,3.957357773422939,12.614223876772876,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
ALENDRONIC ACID + HYDROXYCHLOROQUINE,149,131,7.036933658762477,4.299331424353347,11.517705994315664,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
DICLOFENAC SODIUM + PHTHALYLSULFATHIAZOLE,190,167,7.0211022625487605,4.5402172554585905,10.857603107406392,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
APIXABAN + POTASSIUM CHLORIDE,139,122,6.938846948335689,4.177475544514869,11.525524556486396,TOP_ROR,['ANTICOAGULANTS'],ANTICOAGULANTS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
LEFLUNOMIDE + RAMIPRIL,237,208,6.936144269784755,4.70306465517631,10.229520718648155,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
FOLIC ACID + PSEUDOEPHEDRINE HYDROCHLORIDE,261,229,6.920809002098681,4.780800743909362,10.018739497677384,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
CARBOPLATIN + SIMVASTATIN,106,93,6.916560700622121,3.871123256579416,12.357863274976545,HIGH_RISK_CLASS,['ANTINEOPLASTICS'],ANTINEOPLASTICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
SULFASALAZINE + USTEKINUMAB,106,93,6.916560700622121,3.871123256579416,12.357863274976545,TOP_ROR,[],NONE,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
OXYCODONE + RAMIPRIL,211,185,6.880666477178922,4.5639195639168095,10.37344556737608,HIGH_RISK_CLASS,['OPIOIDS'],OPIOIDS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
RAMIPRIL + TRAMADOL HYDROCHLORIDE,169,148,6.814617912675216,4.314599970807828,10.763226628182425,HIGH_RISK_CLASS,['OPIOIDS'],OPIOIDS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
PSEUDOEPHEDRINE HYDROCHLORIDE + RITUXIMAB,217,190,6.804967884923047,4.547221252726044,10.183711181212658,HIGH_RISK_CLASS,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
FOLIC ACID + OXYCODONE HYDROCHLORIDE,313,274,6.79511042124205,4.858505950254816,9.503647028455454,HIGH_RISK_CLASS,['OPIOIDS'],OPIOIDS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
ASCORBIC ACID + MYCOPHENOLATE MOFETIL,160,140,6.768460521882102,4.236443499192772,10.813801209671686,HIGH_RISK_CLASS,['IMMUNOSUPPRESSANTS'],IMMUNOSUPPRESSANTS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
MICAFUNGIN + TACROLIMUS,102,89,6.619010953824979,3.6986756127416514,11.845133392052148,HIGH_RISK_CLASS,['IMMUNOSUPPRESSANTS'],IMMUNOSUPPRESSANTS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
ADALIMUMAB + PHTHALYLSULFATHIAZOLE,155,135,6.52665180235726,4.080670307705391,10.43877121579228,HIGH_RISK_CLASS,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
CASPOFUNGIN + CYCLOPHOSPHAMIDE,108,94,6.491579480250737,3.702476267011615,11.381735117082991,HIGH_RISK_CLASS,['ANTINEOPLASTICS'],ANTINEOPLASTICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
NAPROXEN + RITUXIMAB,358,311,6.400338176380738,4.709500071284218,8.698232965705484,HIGH_RISK_CLASS,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
CARBOPLATIN + ROSUVASTATIN,114,99,6.3811449790675,3.707187615909537,10.983801054236148,HIGH_RISK_CLASS,['ANTINEOPLASTICS'],ANTINEOPLASTICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
ADALIMUMAB + CETIRIZINE HYDROCHLORIDE,204,177,6.339167855027896,4.228186993704856,9.504085120655397,HIGH_RISK_CLASS,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
ADALIMUMAB + RAMIPRIL,164,142,6.241046993250986,3.9830523054798914,9.779100193682812,HIGH_RISK_CLASS,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
ASCORBIC ACID + OXYCODONE HYDROCHLORIDE,121,104,5.914828221991167,3.542001403362783,9.877238575469836,HIGH_RISK_CLASS,['OPIOIDS'],OPIOIDS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
METHOTREXATE + PSEUDOEPHEDRINE HYDROCHLORIDE,298,256,5.894939197725747,4.253591649568555,8.169638979897899,HIGH_RISK_CLASS,['ANTINEOPLASTICS'],ANTINEOPLASTICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
CYCLOPHOSPHAMIDE + VANCOMYCIN,262,225,5.880884290431525,4.153587226326538,8.32648940612988,HIGH_RISK_CLASS,"['ANTINEOPLASTICS', 'NARROW_THERAPEUTIC_INDEX']","ANTINEOPLASTICS, NARROW_THERAPEUTIC_INDEX",False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
AMLODIPINE + VANCOMYCIN,127,109,5.854850726256153,3.555825705059412,9.64031419705636,HIGH_RISK_CLASS,['NARROW_THERAPEUTIC_INDEX'],NARROW_THERAPEUTIC_INDEX,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
AMPHOTERICIN B + CYCLOPHOSPHAMIDE,174,149,5.762913406526176,3.772771147956091,8.802858596157197,HIGH_RISK_CLASS,['ANTINEOPLASTICS'],ANTINEOPLASTICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
MYCOPHENOLATE MOFETIL + RAMIPRIL,146,125,5.755273107804521,3.625006042504313,9.13741057450348,HIGH_RISK_CLASS,['IMMUNOSUPPRESSANTS'],IMMUNOSUPPRESSANTS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
ADALIMUMAB + CALCIUM,103,88,5.6719797817119435,3.280568201474713,9.806641004959776,HIGH_RISK_CLASS,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
CALCIUM CARBONATE + INFLIXIMAB,109,93,5.6196639019914265,3.306121249742438,9.552167021643806,HIGH_RISK_CLASS,['BIOLOGICS'],BIOLOGICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
CLOTRIMAZOLE + VANCOMYCIN,109,93,5.6196639019914265,3.306121249742438,9.552167021643806,HIGH_RISK_CLASS,['NARROW_THERAPEUTIC_INDEX'],NARROW_THERAPEUTIC_INDEX,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
FILGRASTIM + VANCOMYCIN,108,92,5.559224124541512,3.269180538224052,9.45343106798046,HIGH_RISK_CLASS,['NARROW_THERAPEUTIC_INDEX'],NARROW_THERAPEUTIC_INDEX,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
ALLOPURINOL + VINCRISTINE,128,109,5.5466869792061,3.407265799230845,9.029450080542452,HIGH_RISK_CLASS,['ANTINEOPLASTICS'],ANTINEOPLASTICS,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
MICAFUNGIN + VANCOMYCIN,120,102,5.4787594935700605,3.319374226504936,9.04291096457347,HIGH_RISK_CLASS,['NARROW_THERAPEUTIC_INDEX'],NARROW_THERAPEUTIC_INDEX,False,BOTH_DRUGS_KNOWN,POTENTIALLY_NOVEL
