DRUG,ATC_CODE_FULL,ATC_L1_CODE,ATC_L1_NAME,ATC_L2_CODE,ATC_L2_NAME,ATC_L3_CODE,ATC_L3_NAME,NUM_ATC_CLASSES,RISK_CLASS
(-)-ARTERENOL,,,UNCLASSIFIED,,UNCLASSIFIED,,,0,Unclassified
ACETAMINOPHEN,N02BE,N,Nervous System,N02,Anilides,N02B,Anilides,2,Analgesic/Opioid
ACETAMINOPHEN / CODEINE,N02BE,N,Nervous System,N02,Anilides,N02B,Anilides,3,Analgesic/Opioid
ACETAMINOPHEN / HYDROCODONE,N02BE,N,Nervous System,N02,Anilides,N02B,Anilides,2,Analgesic/Opioid
ACETAMINOPHEN\CODEINE PHOSPHATE,N02BE,N,Nervous System,N02,Anilides,N02B,Anilides,0,Analgesic/Opioid
ACETAMINOPHEN\OXYCODONE HYDROCHLORIDE,N02BE,N,Nervous System,N02,Anilides,N02B,Anilides,0,Analgesic/Opioid
ACETYLCYSTEINE,R05CB,R,Respiratory,R05,Mucolytics,R05C,Mucolytics,3,Respiratory (Other)
ACTEMRA,L04AC,L,Antineoplastic/Immunomodulating,L04,Interleukin inhibitors,L04A,Interleukin inhibitors,1,Immunosuppressant
ACUPAN,N02BG,N,Nervous System,N02,Other analgesics and antipyretics,N02B,Other analgesics and antipyretics,0,Analgesic/Opioid
ACYCLOVIR,D06BB,J,Anti-infectives,J05,Nucleosides and nucleotides excl. reverse transcriptase inhibitors,J05A,Nucleosides and nucleotides excl. reverse transcriptase inhibitors,3,Antiviral
ADALIMUMAB,L04AB,L,Antineoplastic/Immunomodulating,L04,Tumor necrosis factor alpha (TNF-alpha) inhibitors,L04A,Tumor necrosis factor alpha (TNF-alpha) inhibitors,1,Immunosuppressant
ADCIRCA,G04BE,G,Genitourinary/Sex Hormones,G04,Drugs used in erectile dysfunction,G04B,Drugs used in erectile dysfunction,1,Genitourinary
ADEMPAS,C02KX,C,Cardiovascular,C02,Antihypertensives for pulmonary arterial hypertension,C02K,Antihypertensives for pulmonary arterial hypertension,1,Cardiovascular (Other)
ADVAIR HFA,R03AK,R,Respiratory,R03,Adrenergics with corticosteroids,R03A,Adrenergics with corticosteroids,0,Anti-asthmatic
AIMOVIG,N02CD,N,Nervous System,N02,Calcitonin gene-related peptide (CGRP) antagonists,N02C,Calcitonin gene-related peptide (CGRP) antagonists,1,Analgesic/Opioid
AKYNZEO,A04AA,A,Alimentary/Metabolism,A04,Serotonin (5HT3) antagonists,A04A,Serotonin (5HT3) antagonists,1,Alimentary/Metabolism
ALBUMIN HUMAN,B05AA,B,Blood,B05,Blood substitutes and plasma protein fractions,B05A,Blood substitutes and plasma protein fractions,0,Blood (Other)
ALBUTEROL,R03AC,R,Respiratory,R03,Selective beta-2-adrenoreceptor agonists,R03A,Selective beta-2-adrenoreceptor agonists,2,Anti-asthmatic
ALBUTEROL / IPRATROPIUM,R01AX,R,Respiratory,R03,Anticholinergics,R03B,Anticholinergics,4,Anti-asthmatic
ALBUTEROL SULFATE,R03AC,R,Respiratory,R03,Selective beta-2-adrenoreceptor agonists,R03A,Selective beta-2-adrenoreceptor agonists,2,Anti-asthmatic
ALCOHOL,V03AZ,V,Various,V03,Ethanol,V03A,Ethanol,0,Various
ALDACTONE,C03DA,C,Cardiovascular,C03,Aldosterone antagonists,C03D,Aldosterone antagonists,1,Cardiovascular (Other)
ALENDRONATE,M05BA,M,Musculoskeletal,M05,Bisphosphonates,M05B,Bisphosphonates,1,Musculoskeletal (Other)
ALENDRONATE / CHOLECALCIFEROL,M05BA,M,Musculoskeletal,M05,Bisphosphonates,M05B,Bisphosphonates,2,Musculoskeletal (Other)
ALENDRONATE SODIUM,M05BA,M,Musculoskeletal,M05,Bisphosphonates,M05B,Bisphosphonates,0,Musculoskeletal (Other)
ALENDRONIC ACID,M05BA,M,Musculoskeletal,M05,Bisphosphonates,M05B,Bisphosphonates,1,Musculoskeletal (Other)
ALFACALCIDOL,A11CC,A,Alimentary/Metabolism,A11,Vitamin D and analogues,A11C,Vitamin D and analogues,1,Alimentary/Metabolism
ALIMTA,L01BA,L,Antineoplastic/Immunomodulating,L01,Folic acid analogues,L01B,Folic acid analogues,1,Antineoplastic
ALLOPURINOL,M04AA,M,Musculoskeletal,M04,Preparations inhibiting uric acid production,M04A,Preparations inhibiting uric acid production,1,Musculoskeletal (Other)
ALPRAZOLAM,N05BA,N,Nervous System,N05,Benzodiazepine derivatives,N05B,Benzodiazepine derivatives,1,Psycholeptic
ALVESCO,R01AD,R,Respiratory,R03,Glucocorticoids,R03B,Glucocorticoids,2,Anti-asthmatic
AMBRISENTAN,C02KX,C,Cardiovascular,C02,Antihypertensives for pulmonary arterial hypertension,C02K,Antihypertensives for pulmonary arterial hypertension,1,Cardiovascular (Other)
AMIKACIN,D06AX,J,Anti-infectives,J01,Other aminoglycosides,J01G,Other aminoglycosides,3,Antibacterial
AMIODARONE,C01BD,C,Cardiovascular,C01,"Antiarrhythmics, class III",C01B,"Antiarrhythmics, class III",1,Cardiovascular (Other)
AMIODARONE HYDROCHLORIDE,C01BD,C,Cardiovascular,C01,"Antiarrhythmics, class III",C01B,"Antiarrhythmics, class III",1,Cardiovascular (Other)
AMITRIPTYLINE,N06AA,N,Nervous System,N06,Non-selective monoamine reuptake inhibitors,N06A,Non-selective monoamine reuptake inhibitors,1,Psychoanaleptic
AMITRIPTYLINE HYDROCHLORIDE,N06AA,N,Nervous System,N06,Non-selective monoamine reuptake inhibitors,N06A,Non-selective monoamine reuptake inhibitors,1,Psychoanaleptic
AMLODIPINE,C09XA,C,Cardiovascular,C09,Renin-inhibitors,C09X,Renin-inhibitors,6,RAAS Inhibitor
AMLODIPINE BESYLATE,C08CA,C,Cardiovascular,C08,Dihydropyridine derivatives,C08C,Dihydropyridine derivatives,1,Cardiovascular (Other)
AMOXICILLIN,A02BD,J,Anti-infectives,J01,Penicillins with extended spectrum,J01C,Penicillins with extended spectrum,2,Antibacterial
AMOXICILLIN / CLAVULANATE,J01CA,J,Anti-infectives,J01,Penicillins with extended spectrum,J01C,Penicillins with extended spectrum,1,Antibacterial
AMPHETAMINE,N06BA,N,Nervous System,N06,Centrally acting sympathomimetics,N06B,Centrally acting sympathomimetics,1,Psychoanaleptic
AMPHOTERICIN B,A01AB,J,Anti-infectives,J02,Antibiotics,J02A,Antibiotics,4,Anti-infective (Other)
AMPICILLIN,J01CR,J,Anti-infectives,J01,"Combinations of penicillins, incl. beta-lactamase inhibitors",J01C,"Combinations of penicillins, incl. beta-lactamase inhibitors",3,Antibacterial
ANAKINRA,L04AC,L,Antineoplastic/Immunomodulating,L04,Interleukin inhibitors,L04A,Interleukin inhibitors,1,Immunosuppressant
ANASTROZOLE,L02BG,L,Antineoplastic/Immunomodulating,L02,Aromatase inhibitors,L02B,Aromatase inhibitors,1,Antineoplastic/Immuno (Other)
ANORO ELLIPTA,R03AL,R,Respiratory,R03,Adrenergics with anticholinergics,R03A,Adrenergics with anticholinergics,0,Anti-asthmatic
ANTI-THYMOCYTE GLOBULIN,L04AA,L,Antineoplastic/Immunomodulating,L04,Selective immunosuppressants,L04A,Selective immunosuppressants,0,Immunosuppressant
