Source,Target,ROR,CI_LOWER,CI_UPPER,N_EXPOSED,PCT_SERIOUS,Weight,Type,severity
ACYCLOVIR,VINCRISTINE,8.703138331815673,5.483189982270692,13.813969070492067,200,90.0,8.703138331815673,Undirected,strong
CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE,FOLIC ACID,8.645740606278718,5.23726575566377,14.27249143319118,169,89.94082840236686,8.645740606278718,Undirected,strong
CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE,HYDROXYCHLOROQUINE SULFATE,8.621220050340916,4.747049778829611,15.657184697718764,119,89.91596638655463,8.621220050340916,Undirected,strong
ACETAMINOPHEN,CIMZIA,8.614387003887144,5.97743500206658,12.414633271141197,317,89.90536277602523,8.614387003887144,Undirected,strong
CALCIUM CARBONATE,XELJANZ,8.613731348211825,4.618620122511057,16.06461795321411,109,89.90825688073394,8.613731348211825,Undirected,strong
PIPERACILLIN SODIUM\TAZOBACTAM SODIUM,PREDNISONE,8.582853499500446,5.627822322165822,13.089498917502702,237,89.87341772151899,8.582853499500446,Undirected,strong
SIMPONI,STELARA,8.577434302187646,5.573377749376018,13.200680541810083,227,89.86784140969164,8.577434302187646,Undirected,strong
CELECOXIB,OXYCODONE,8.56509493455868,5.4546488859747555,13.449234363486084,207,89.85507246376811,8.56509493455868,Undirected,strong
HYDROCORTISONE,SULFAMETHOXAZOLE / TRIMETHOPRIM,8.558024664802467,5.389655317111625,13.58895548122313,197,89.84771573604061,8.558024664802467,Undirected,strong
ADALIMUMAB,DICLOFENAC,8.553894267088051,5.934686299437892,12.32906061765254,315,89.84126984126985,8.553894267088051,Undirected,strong
CERTOLIZUMAB PEGOL,CETIRIZINE HYDROCHLORIDE,8.553185986526808,4.820020924986346,15.177732972253803,128,89.84375,8.553185986526808,Undirected,strong
DIPHENHYDRAMINE,FENTANYL,8.531940081218215,5.166593301542843,14.089361654953606,167,89.82035928143712,8.531940081218215,Undirected,strong
ALENDRONATE SODIUM,HYDROXYCHLOROQUINE,8.527560538449823,5.486832037434939,13.25341986792846,216,89.81481481481481,8.527560538449823,Undirected,strong
LINEZOLID,PANTOPRAZOLE,8.52581575751783,4.569998970226523,15.905809783483663,108,89.81481481481481,8.52581575751783,Undirected,strong
PANTOPRAZOLE,PEMBROLIZUMAB,8.52581575751783,4.569998970226523,15.905809783483663,108,89.81481481481481,8.52581575751783,Undirected,strong
CORTISONE ACETATE,FLUMETHASONE PIVALATE,8.494889473339233,4.887140870392104,14.765923282759797,137,89.78102189781022,8.494889473339233,Undirected,strong
LEFLUNOMIDE,STELARA,8.487841691448516,5.212364863728884,13.82164496588067,176,89.77272727272727,8.487841691448516,Undirected,strong
ALENDRONATE SODIUM,ENBREL,8.472956637955456,5.394629171433305,13.307864527340476,205,89.75609756097562,8.472956637955456,Undirected,strong
LEFLUNOMIDE,MYCOPHENOLATE MOFETIL,8.45804321760338,6.072538581574402,11.780657151839629,380,89.73684210526316,8.45804321760338,Undirected,strong
FOSAMAX,LISINOPRIL,8.437900586979062,4.5213793256279295,15.747001343633915,107,89.7196261682243,8.437900586979062,Undirected,strong
DICLOFENAC SODIUM,METHOTREXATE,8.417073298213358,6.523905427376454,10.8596183215959,640,89.6875,8.417073298213358,Undirected,strong
ACETAMINOPHEN,COSENTYX,8.411984366736936,5.867081341516203,12.060763583676517,320,89.6875,8.411984366736936,Undirected,strong
DICLOFENAC,OXYCODONE,8.400403025941115,6.004385528368437,11.75253831800765,368,89.67391304347827,8.400403025941115,Undirected,strong
HYDROXYCHLOROQUINE,OXYCODONE,8.380819222204961,5.334611126314456,13.166495021316743,203,89.65517241379311,8.380819222204961,Undirected,strong
CORTISONE ACETATE,DICLOFENAC SODIUM,8.355628473292843,5.522599091448356,12.641969121352965,241,89.62655601659752,8.355628473292843,Undirected,strong
CETIRIZINE,DICLOFENAC SODIUM,8.325037433958641,5.405801304236943,12.820716925443046,221,89.59276018099548,8.325037433958641,Undirected,strong
CHOLECALCIFEROL,QUETIAPINE FUMARATE,8.298852126564775,4.564215921096566,15.08932701896413,115,89.56521739130436,8.298852126564775,Undirected,strong
FENTANYL,ZOPICLONE,8.298852126564775,4.564215921096566,15.08932701896413,115,89.56521739130436,8.298852126564775,Undirected,strong
COSENTYX,ORENCIA,8.294745907685835,5.525761541823472,12.451280995807569,249,89.5582329317269,8.294745907685835,Undirected,strong
EPCORITAMAB,RITUXIMAB,8.282971993054119,5.377873153009169,12.75738997289845,220,89.54545454545455,8.282971993054119,Undirected,strong
DESOXIMETASONE,ORENCIA,8.26533531970474,5.762901021190376,11.854405913958844,315,89.52380952380953,8.26533531970474,Undirected,strong
DESOXIMETASONE,ERELZI,8.26533531970474,5.762901021190376,11.854405913958844,315,89.52380952380953,8.26533531970474,Undirected,strong
CASPOFUNGIN,CYCLOPHOSPHAMIDE,8.262071506355163,4.42414471303273,15.429383531474206,105,89.52380952380953,8.262071506355163,Undirected,strong
ACTEMRA,OXYCODONE,8.242614750150457,5.2445872646675955,12.95444131077948,200,89.5,8.242614750150457,Undirected,strong
ALENDRONIC ACID,SULFASALAZINE,8.196547033211637,5.214580183804318,12.883756870075894,199,89.44723618090453,8.196547033211637,Undirected,strong
DICLOFENAC,OXYCODONE HYDROCHLORIDE,8.190545033120681,4.954591028179561,13.539972836915773,161,89.44099378881988,8.190545033120681,Undirected,strong
CETIRIZINE,ORENCIA,8.190545033120681,4.954591028179561,13.539972836915773,161,89.44099378881988,8.190545033120681,Undirected,strong
ATIVAN,IBUPROFEN,8.174157596264006,4.37552982570246,15.27057409506598,104,89.42307692307693,8.174157596264006,Undirected,strong
AIMOVIG,DOMPERIDONE MALEATE,8.174157596264006,4.37552982570246,15.27057409506598,104,89.42307692307693,8.174157596264006,Undirected,strong
EPCORITAMAB,PREDNISONE,8.158395407358551,4.858867152959123,13.69854608646244,151,89.40397350993378,8.158395407358551,Undirected,strong
PHTHALYLSULFATHIAZOLE,XELJANZ,8.15148796789572,5.509170162940479,12.061118848302778,264,89.39393939393939,8.15148796789572,Undirected,strong
APREMILAST,INFLIXIMAB,8.149471389415089,4.682818504479289,14.182459530167092,132,89.39393939393939,8.149471389415089,Undirected,strong
ADALIMUMAB,PSEUDOEPHEDRINE HYDROCHLORIDE,8.149471389415089,4.682818504479289,14.182459530167092,132,89.39393939393939,8.149471389415089,Undirected,strong
ACETAMINOPHEN,LITHIUM,8.137670475635186,4.472806898432779,14.805396761757804,113,89.38053097345133,8.137670475635186,Undirected,strong
CORTISONE ACETATE,KEVZARA,8.106816570083456,4.561168477452167,14.408692690450808,122,89.34426229508196,8.106816570083456,Undirected,strong
DICLOFENAC,HYDROCORTISONE,8.09200564217047,5.028360263670061,13.022248184167749,178,89.32584269662921,8.09200564217047,Undirected,strong
CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE,DICLOFENAC,8.08624410631603,4.326916607550554,15.111764260219058,103,89.32038834951457,8.08624410631603,Undirected,strong
OLANZAPINE,SULFAMETHOXAZOLE / TRIMETHOPRIM,8.08624410631603,4.326916607550554,15.111764260219058,103,89.32038834951457,8.08624410631603,Undirected,strong
INFLIXIMAB,TRIAMCINOLONE ACETONIDE,8.08624410631603,4.326916607550554,15.111764260219058,103,89.32038834951457,8.08624410631603,Undirected,strong
CELLCEPT,LANSOPRAZOLE,8.08624410631603,4.326916607550554,15.111764260219058,103,89.32038834951457,8.08624410631603,Undirected,strong
BACTRIM,LENALIDOMIDE,8.074327470006214,5.077903042013302,12.838914716073091,187,89.3048128342246,8.074327470006214,Undirected,strong
DICLOFENAC SODIUM,FOLIC ACID,8.0638320094462,6.1691867064051245,10.54034993122463,560,89.28571428571429,8.0638320094462,Undirected,strong
CETIRIZINE,RITUXIMAB,8.060032543492257,5.617056882463975,11.565509476139963,308,89.28571428571429,8.060032543492257,Undirected,strong
ALENDRONIC ACID,DESOXIMETASONE,8.057923494655906,4.941786448845976,13.138999776263168,168,89.28571428571429,8.057923494655906,Undirected,strong
AMLODIPINE,PIPERACILLIN SODIUM\TAZOBACTAM SODIUM,8.057080227900348,4.42710447238728,14.66343118932926,112,89.28571428571429,8.057080227900348,Undirected,strong
CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE,ORENCIA,8.04109330753592,4.995920635065944,12.942395667109214,177,89.26553672316385,8.04109330753592,Undirected,strong
CETIRIZINE HYDROCHLORIDE\PSEUDOEPHEDRINE HYDROCHLORIDE,REMICADE,8.037491874853627,4.784885988096433,13.501110747267427,149,89.26174496644296,8.037491874853627,Undirected,strong
