Id,signal_count,drug_class,r,g,b,Label
ACETAMINOPHEN,260,Analgesic/Opioid,38,70,83,ACETAMINOPHEN
FUROSEMIDE,230,Cardiovascular (Other),87,117,144,FUROSEMIDE
PANTOPRAZOLE,185,Alimentary/Metabolism,138,177,125,PANTOPRAZOLE
PREDNISONE,153,Corticosteroid,244,162,97,PREDNISONE
POTASSIUM CHLORIDE,134,Alimentary/Metabolism,138,177,125,POTASSIUM CHLORIDE
ELIQUIS,131,Antithrombotic,69,123,157,ELIQUIS
FOLIC ACID,125,Blood (Other),61,90,128,FOLIC ACID
OXYGEN,118,Various,153,153,153,OXYGEN
ASPIRIN,116,Antithrombotic,69,123,157,ASPIRIN
CHOLECALCIFEROL,115,Alimentary/Metabolism,138,177,125,CHOLECALCIFEROL
ALLOPURINOL,103,Musculoskeletal (Other),221,161,94,ALLOPURINOL
LORAZEPAM,102,Psycholeptic,155,93,229,LORAZEPAM
PANTOPRAZOLE SODIUM,101,Alimentary/Metabolism,138,177,125,PANTOPRAZOLE SODIUM
SODIUM CHLORIDE,95,Alimentary/Metabolism,138,177,125,SODIUM CHLORIDE
ONDANSETRON,94,Alimentary/Metabolism,138,177,125,ONDANSETRON
AMLODIPINE,93,RAAS Inhibitor,67,97,160,AMLODIPINE
PREGABALIN,92,Analgesic/Opioid,38,70,83,PREGABALIN
DEXAMETHASONE,91,Corticosteroid,244,162,97,DEXAMETHASONE
SULFAMETHOXAZOLE / TRIMETHOPRIM,91,Antibacterial,106,153,78,SULFAMETHOXAZOLE / TRIMETHOPRIM
RITUXIMAB,84,Antineoplastic,42,157,143,RITUXIMAB
SPIRONOLACTONE,83,Cardiovascular (Other),87,117,144,SPIRONOLACTONE
GABAPENTIN,81,Analgesic/Opioid,38,70,83,GABAPENTIN
ATORVASTATIN,79,Lipid Modifying,123,151,212,ATORVASTATIN
QUETIAPINE,74,Psycholeptic,155,93,229,QUETIAPINE
METHOTREXATE,72,Antineoplastic,42,157,143,METHOTREXATE
RAMIPRIL,71,RAAS Inhibitor,67,97,160,RAMIPRIL
OMEPRAZOLE,69,Alimentary/Metabolism,138,177,125,OMEPRAZOLE
LT4,69,Hormonal,199,168,125,LT4
METFORMIN,68,Antidiabetic,96,108,56,METFORMIN
LASIX,67,Cardiovascular (Other),87,117,144,LASIX
IBUPROFEN,66,Analgesic/Opioid,38,70,83,IBUPROFEN
LANSOPRAZOLE,65,Alimentary/Metabolism,138,177,125,LANSOPRAZOLE
OXYCODONE,64,Analgesic/Opioid,38,70,83,OXYCODONE
ALBUTEROL SULFATE,64,Anti-asthmatic,181,201,154,ALBUTEROL SULFATE
VITAMIN D3,61,Alimentary/Metabolism,138,177,125,VITAMIN D3
OLANZAPINE,61,Psycholeptic,155,93,229,OLANZAPINE
SULFASALAZINE,59,Alimentary/Metabolism,138,177,125,SULFASALAZINE
ASCORBIC ACID,59,Alimentary/Metabolism,138,177,125,ASCORBIC ACID
DICLOFENAC,58,Anti-inflammatory (NSAID),231,111,81,DICLOFENAC
TORSEMIDE,58,Cardiovascular (Other),87,117,144,TORSEMIDE
ALPRAZOLAM,58,Psycholeptic,155,93,229,ALPRAZOLAM
VANCOMYCIN,56,Narrow Therapeutic Index,178,34,34,VANCOMYCIN
HYDROCORTISONE,56,Corticosteroid,244,162,97,HYDROCORTISONE
FAMOTIDINE,56,Alimentary/Metabolism,138,177,125,FAMOTIDINE
CETIRIZINE HYDROCHLORIDE,55,Respiratory (Other),144,190,109,CETIRIZINE HYDROCHLORIDE
DIAZEPAM,55,Psycholeptic,155,93,229,DIAZEPAM
CALCIUM CARBONATE,55,Alimentary/Metabolism,138,177,125,CALCIUM CARBONATE
LEVOTHYROXINE SODIUM,54,Hormonal,199,168,125,LEVOTHYROXINE SODIUM
MEROPENEM,53,Antibacterial,106,153,78,MEROPENEM
LEVOFLOXACIN,53,Antibacterial,106,153,78,LEVOFLOXACIN
FENTANYL,52,Analgesic/Opioid,38,70,83,FENTANYL
MIRTAZAPINE,51,Psychoanaleptic,177,133,219,MIRTAZAPINE
TRAZODONE,51,Psychoanaleptic,177,133,219,TRAZODONE
ACYCLOVIR,51,Antiviral,77,144,142,ACYCLOVIR
ACTEMRA,51,Immunosuppressant,230,57,70,ACTEMRA
PREDNISOLONE,50,Corticosteroid,244,162,97,PREDNISOLONE
LEFLUNOMIDE,50,Immunosuppressant,230,57,70,LEFLUNOMIDE
JARDIANCE,50,Antidiabetic,96,108,56,JARDIANCE
LISINOPRIL,50,RAAS Inhibitor,67,97,160,LISINOPRIL
CYCLOPHOSPHAMIDE,50,Antineoplastic,42,157,143,CYCLOPHOSPHAMIDE
POLYETHYLENE GLYCOL,48,Alimentary/Metabolism,138,177,125,POLYETHYLENE GLYCOL
SIMVASTATIN,48,Antidiabetic,96,108,56,SIMVASTATIN
METHYLPREDNISOLONE,48,Corticosteroid,244,162,97,METHYLPREDNISOLONE
ATORVASTATIN CALCIUM,47,Lipid Modifying,123,151,212,ATORVASTATIN CALCIUM
HUMIRA,46,Immunosuppressant,230,57,70,HUMIRA
VITAMIN D2,46,Alimentary/Metabolism,138,177,125,VITAMIN D2
ALBUTEROL,46,Anti-asthmatic,181,201,154,ALBUTEROL
APIXABAN,46,Antithrombotic,69,123,157,APIXABAN
HYDROXYCHLOROQUINE SULFATE,46,Antiparasitic,163,177,138,HYDROXYCHLOROQUINE SULFATE
CYANOCOBALAMIN,45,Blood (Other),61,90,128,CYANOCOBALAMIN
NAPROXEN,44,Anti-inflammatory (NSAID),231,111,81,NAPROXEN
CARVEDILOL,44,Beta Blocker,92,127,191,CARVEDILOL
MAGNESIUM,43,Alimentary/Metabolism,138,177,125,MAGNESIUM
HYDROXYCHLOROQUINE,43,Antiparasitic,163,177,138,HYDROXYCHLOROQUINE
ZOPICLONE,43,Psycholeptic,155,93,229,ZOPICLONE
ORENCIA,43,Immunosuppressant,230,57,70,ORENCIA
TRAMADOL HYDROCHLORIDE,42,Analgesic/Opioid,38,70,83,TRAMADOL HYDROCHLORIDE
