Id,signal_count,drug_class,r,g,b,Label
ACETAMINOPHEN,260,Analgesic/Opioid,38,70,83,ACETAMINOPHEN
FUROSEMIDE,230,Cardiovascular (Other),87,117,144,FUROSEMIDE
PANTOPRAZOLE,185,Alimentary/Metabolism,138,177,125,PANTOPRAZOLE
PREDNISONE,153,Corticosteroid,244,162,97,PREDNISONE
POTASSIUM CHLORIDE,134,Alimentary/Metabolism,138,177,125,POTASSIUM CHLORIDE
ELIQUIS,131,Antithrombotic,69,123,157,ELIQUIS
FOLIC ACID,125,Blood (Other),61,90,128,FOLIC ACID
OXYGEN,118,Various,153,153,153,OXYGEN
ASPIRIN,116,Antithrombotic,69,123,157,ASPIRIN
CHOLECALCIFEROL,115,Alimentary/Metabolism,138,177,125,CHOLECALCIFEROL
ALLOPURINOL,103,Musculoskeletal (Other),221,161,94,ALLOPURINOL
LORAZEPAM,102,Psycholeptic,155,93,229,LORAZEPAM
ONDANSETRON,94,Alimentary/Metabolism,138,177,125,ONDANSETRON
AMLODIPINE,93,RAAS Inhibitor,67,97,160,AMLODIPINE
PREGABALIN,92,Analgesic/Opioid,38,70,83,PREGABALIN
DEXAMETHASONE,91,Corticosteroid,244,162,97,DEXAMETHASONE
SULFAMETHOXAZOLE / TRIMETHOPRIM,91,Antibacterial,106,153,78,SULFAMETHOXAZOLE / TRIMETHOPRIM
SPIRONOLACTONE,83,Cardiovascular (Other),87,117,144,SPIRONOLACTONE
GABAPENTIN,81,Analgesic/Opioid,38,70,83,GABAPENTIN
ATORVASTATIN,79,Lipid Modifying,123,151,212,ATORVASTATIN
QUETIAPINE,74,Psycholeptic,155,93,229,QUETIAPINE
METHOTREXATE,72,Antineoplastic,42,157,143,METHOTREXATE
RAMIPRIL,71,RAAS Inhibitor,67,97,160,RAMIPRIL
LT4,69,Hormonal,199,168,125,LT4
METFORMIN,68,Antidiabetic,96,108,56,METFORMIN
OXYCODONE,64,Analgesic/Opioid,38,70,83,OXYCODONE
ALBUTEROL SULFATE,64,Anti-asthmatic,181,201,154,ALBUTEROL SULFATE
OLANZAPINE,61,Psycholeptic,155,93,229,OLANZAPINE
VANCOMYCIN,56,Narrow Therapeutic Index,178,34,34,VANCOMYCIN
MEROPENEM,53,Antibacterial,106,153,78,MEROPENEM
CARVEDILOL,44,Beta Blocker,92,127,191,CARVEDILOL
BISOPROLOL,41,Beta Blocker,92,127,191,BISOPROLOL
COSENTYX,40,Immunosuppressant,230,57,70,COSENTYX
KEYTRUDA,14,Antineoplastic,42,157,143,KEYTRUDA
DAPAGLIFLOZIN,14,Antidiabetic,96,108,56,DAPAGLIFLOZIN
LENVIMA,3,Antineoplastic,42,157,143,LENVIMA
TECENTRIQ,2,Antineoplastic,42,157,143,TECENTRIQ
AVASTIN,1,Antineoplastic,42,157,143,AVASTIN
