Source,Target,ROR,CI_LOWER,CI_UPPER,N_EXPOSED,PCT_SERIOUS,Weight,Type,severity
FUROSEMIDE,SPIRONOLACTONE,2.310752450141566,2.121176691611556,2.517271148109085,2525,70.45544554455445,2.310752450141566,Undirected,mild
ASPIRIN,FUROSEMIDE,2.18808690111627,2.0089900261797884,2.38314985363105,2483,69.31131695529601,2.18808690111627,Undirected,mild
ATORVASTATIN,PANTOPRAZOLE,2.1828041953183503,1.983471821207587,2.402168815384815,1972,69.26977687626776,2.1828041953183503,Undirected,mild
ACETAMINOPHEN,FUROSEMIDE,2.4978746213860408,2.258221571690716,2.762960775143546,1879,72.05960617349653,2.4978746213860408,Undirected,mild
ACETAMINOPHEN,FOLIC ACID,2.282882915631419,2.066174518621312,2.522320529806602,1850,70.21621621621622,2.282882915631419,Undirected,mild
ACETAMINOPHEN,ONDANSETRON,2.196407436171363,1.9874728880410455,2.4273063822389256,1814,69.40463065049614,2.196407436171363,Undirected,mild
ACETAMINOPHEN,PANTOPRAZOLE,3.0142853631485567,2.7037113534182233,3.360534858502763,1768,75.6787330316742,3.0142853631485567,Undirected,moderate
BISOPROLOL,FUROSEMIDE,2.072973192598472,1.8747652559051968,2.292136492126886,1756,68.16628701594533,2.072973192598472,Undirected,mild
KEYTRUDA,LENVIMA,2.187107421090142,1.972597900339315,2.4249437103044427,1698,69.3168433451119,2.187107421090142,Undirected,mild
FUROSEMIDE,POTASSIUM CHLORIDE,3.312336894115337,2.950703926096,3.7182909485038858,1644,77.37226277372264,3.312336894115337,Undirected,moderate
ACETAMINOPHEN,DEXAMETHASONE,2.1690728378816875,1.9533115366701643,2.4086669677160573,1643,69.14181375532561,2.1690728378816875,Undirected,mild
ELIQUIS,FUROSEMIDE,3.1616184101497775,2.812481338139979,3.5540968168729963,1565,76.54952076677316,3.1616184101497775,Undirected,moderate
FUROSEMIDE,PANTOPRAZOLE,2.6557111131799376,2.372227117257745,2.973071787839751,1542,73.28145265888456,2.6557111131799376,Undirected,mild
ACETAMINOPHEN,PREGABALIN,2.136451310724578,1.9152493742338377,2.383200989125861,1501,68.82078614257162,2.136451310724578,Undirected,mild
FOLIC ACID,PANTOPRAZOLE,2.0082664367125234,1.7949241268239575,2.2469663316423714,1390,67.4820143884892,2.0082664367125234,Undirected,mild
FUROSEMIDE,PREDNISONE,2.2771613748535486,2.029633894102832,2.5548764938304585,1388,70.17291066282421,2.2771613748535486,Undirected,mild
ACETAMINOPHEN,CHOLECALCIFEROL,2.647187716554807,2.349445760533877,2.9826620917974624,1378,73.22206095791002,2.647187716554807,Undirected,mild
AMLODIPINE,FUROSEMIDE,2.3218761111178585,2.061738343189153,2.6148365010473036,1312,70.57926829268293,2.3218761111178585,Undirected,mild
PREDNISONE,SULFAMETHOXAZOLE / TRIMETHOPRIM,3.014403314128189,2.651061746186791,3.42754270182388,1267,75.69060773480662,3.014403314128189,Undirected,moderate
ALLOPURINOL,FUROSEMIDE,2.229939726142888,1.9762009173818929,2.516257906011931,1249,69.73578863090472,2.229939726142888,Undirected,mild
COSENTYX,METHOTREXATE,2.285123542095332,2.023713657818877,2.5803006183524357,1247,70.2485966319166,2.285123542095332,Undirected,mild
ATORVASTATIN,ELIQUIS,2.1028628154806084,1.8641941683408672,2.372087680473027,1228,68.48534201954396,2.1028628154806084,Undirected,mild
LT4,PANTOPRAZOLE,2.2051959734123905,1.946361490117385,2.498451241378054,1164,69.50171821305841,2.2051959734123905,Undirected,mild
METFORMIN,PANTOPRAZOLE,2.0629737235668144,1.8234647502424617,2.3339417905178785,1162,68.07228915662651,2.0629737235668144,Undirected,mild
ACETAMINOPHEN,METFORMIN,2.5509290697381495,2.239540245624002,2.9056138337098876,1138,72.49560632688929,2.5509290697381495,Undirected,mild
FUROSEMIDE,METFORMIN,2.496006315963998,2.191822135344691,2.842405608041009,1131,72.06012378426172,2.496006315963998,Undirected,mild
