class,degree_centrality,betweenness_centrality,eigenvector_centrality,degree,num_drugs
Alimentary/Metabolism,0.6,0.2636481481481482,0.4007941718401159,15,14
Immunosuppressant,0.52,0.04118518518518519,0.5667859553469785,13,27
Analgesic/Opioid,0.52,0.16336111111111112,0.2213712671466121,13,9
Corticosteroid,0.44,0.05462962962962963,0.3134143084669006,11,7
Antineoplastic,0.44,0.16918518518518522,0.1681833931661702,11,8
Respiratory (Other),0.4,0.07274074074074073,0.3269464058124161,10,4
Anti-inflammatory (NSAID),0.36,0.0013333333333333335,0.31316304605027867,9,6
Musculoskeletal (Other),0.32,0.03275925925925925,0.2632479804797282,8,4
Antibacterial,0.28,0.08827777777777782,0.14251662145001887,7,8
Dermatological,0.28,0.045314814814814815,0.1343163293397761,7,2
RAAS Inhibitor,0.28,0.2200740740740741,0.11200895946394496,7,4
Psycholeptic,0.24,0.09749999999999999,0.09153769785278777,6,8
Antiparasitic,0.2,0.034166666666666665,0.07222510958489127,5,2
Cardiovascular (Other),0.16,0.10912037037037037,0.026006156178037258,4,4
Blood (Other),0.16,0.040027777777777794,0.03950866064820534,4,2
Antithrombotic,0.12,0.08944444444444444,0.015890442765625196,3,3
Antiepileptic,0.12,0.15333333333333335,0.010760128339631029,3,3
Anesthetic,0.08,0.08,0.00034728758207918254,2,2
Antidiabetic,0.08,0.013333333333333334,0.018345132608957856,2,2
Anti-infective (Other),0.08,0.010037037037037039,0.02369674115994689,2,2
Antiviral,0.04,0.0,0.010845134041462706,1,2
Narrow Therapeutic Index,0.04,0.0,0.007137486949001375,1,1
Lipid Modifying,0.04,0.0,0.0005123356079269389,1,1
Nervous System (Other),0.04,0.0,1.1197434850258872e-05,1,1
Various,0.04,0.0,0.0008384843174816557,1,1
Psychoanaleptic,0.04,0.0,0.012922565588226506,1,1
