drug,degree_centrality,betweenness_centrality,eigenvector_centrality,degree,drug_class
ACETAMINOPHEN,0.381791483113069,0.18589876479226053,0.19383983548489248,260,Analgesic/Opioid
FUROSEMIDE,0.33773861967694563,0.11109527511445107,0.11984836914210147,230,Cardiovascular (Other)
PANTOPRAZOLE,0.27165932452276065,0.07392675131726699,0.15794246925495256,185,Alimentary/Metabolism
PREDNISONE,0.22466960352422907,0.08595922950678068,0.12111734093642865,153,Corticosteroid
POTASSIUM CHLORIDE,0.19676945668135096,0.021145374449339206,0.1057696337504489,134,Alimentary/Metabolism
ELIQUIS,0.19236417033773862,0.035026345339898075,0.08459719164633406,131,Antithrombotic
FOLIC ACID,0.18355359765051393,0.024850997667789584,0.16419589466983936,125,Blood (Other)
OXYGEN,0.17327459618208516,0.014857044139241599,0.07821026289174206,118,Various
ASPIRIN,0.17033773861967694,0.06433445624946013,0.057486569533520104,116,Antithrombotic
CHOLECALCIFEROL,0.16886930983847281,0.025801157467392245,0.14978892182264067,115,Alimentary/Metabolism
ALLOPURINOL,0.15124816446402348,0.015504880366243414,0.08054549485015992,103,Musculoskeletal (Other)
LORAZEPAM,0.14977973568281938,0.02016498229247646,0.11043324566264005,102,Psycholeptic
PANTOPRAZOLE SODIUM,0.14831130690161526,0.015859030837004406,0.1262318001069122,101,Alimentary/Metabolism
SODIUM CHLORIDE,0.1395007342143906,0.0337133972531744,0.07024087739562229,95,Alimentary/Metabolism
ONDANSETRON,0.13803230543318648,0.030914744752526563,0.08187379275082636,94,Alimentary/Metabolism
AMLODIPINE,0.13656387665198236,0.02133540640925974,0.05580424985153588,93,RAAS Inhibitor
PREGABALIN,0.13509544787077826,0.01881748294031269,0.11316017096543123,92,Analgesic/Opioid
DEXAMETHASONE,0.13362701908957414,0.034097780081195475,0.07560533558090649,91,Corticosteroid
SULFAMETHOXAZOLE / TRIMETHOPRIM,0.13362701908957414,0.01591517664334456,0.12944641981929544,91,Antibacterial
RITUXIMAB,0.12334801762114536,0.012714865681955602,0.12625684946393145,84,Antineoplastic
